Date,Open,High,Low,Close,Volume
2016-01-04,130.16,131.1,128.76,131.1,7865682
2016-01-05,130.75,131.53,129.81,131.25,4297566
2016-01-06,129.99,131.76,129.725,131.67,5829948
2016-01-07,129.25,130.54,129.0,129.75,8095208
2016-01-08,130.11,130.4,128.205,128.42,6874450
2016-01-11,128.92,129.23,127.04,128.28,4752885
2016-01-12,129.11,129.43,127.52,128.81,5152999
2016-01-13,128.97,129.38,125.71,126.49,6910726
2016-01-14,126.41,128.99,126.01,128.2,7051819
2016-01-15,125.34,126.81,124.51,126.14,10204363
2016-01-19,126.86,128.27,126.77,127.59,6392713
2016-01-20,125.6,126.12,124.04,125.1,9232970
2016-01-21,125.52,126.75,124.37,125.68,4047110
2016-01-22,127.5,127.93,125.92,126.91,4137045
2016-01-25,126.55,126.9,123.9,124.28,5861191
2016-01-26,124.57,126.52,124.57,125.89,4199170
2016-01-27,125.26,127.22,124.61,125.28,4310925
2016-01-28,126.08,126.72,124.37,125.81,3691455
2016-01-29,126.66,129.77,126.11,129.62,8206900
2016-02-01,128.94,129.64,127.54,128.66,4995133
2016-02-02,127.52,127.83,125.51,125.9,4655837
2016-02-03,126.34,126.629,123.55,126.05,7249170
2016-02-04,126.09,127.7,125.75,127.28,5267617
2016-02-05,127.28,127.39,125.75,126.56,5207598
2016-02-08,125.63,127.84,124.93,126.99,6490208
2016-02-09,125.15,128.08,125.15,127.49,5476489
2016-02-10,128.31,129.18,126.29,126.57,5109358
2016-02-11,124.11,125.84,124.04,125.28,6540179
2016-02-12,126.73,128.21,126.05,127.81,5823805
2016-02-16,129.44,129.6,128.07,128.65,7566775
2016-02-17,129.17,130.44,128.91,130.25,4951421
2016-02-18,130.6,132.35,130.59,130.66,4200522
2016-02-19,130.37,131.6,130.01,131.05,5465027
2016-02-22,132.19,132.87,131.33,131.8,4584441
2016-02-23,131.12,131.91,130.65,130.74,3464249
2016-02-24,129.9,131.5,128.88,131.4,3914213
2016-02-25,131.5,132.37,130.42,132.35,3817387
2016-02-26,132.94,133.29,131.77,131.83,4202320
2016-02-29,133.36,135.11,132.94,134.509,8606311
2016-03-01,135.11,136.94,134.17,136.75,6733701
2016-03-02,136.95,137.15,135.81,136.707,4080504
2016-03-03,136.84,137.24,136.13,136.75,4114462
2016-03-04,136.99,138.06,136.52,138.03,4723538
2016-03-07,137.7,138.79,137.43,138.64,4899478
2016-03-08,138.25,138.695,137.49,138.0,4463584
2016-03-09,138.49,139.15,138.07,139.14,3458267
2016-03-10,139.75,139.75,137.81,138.43,5014041
2016-03-11,139.45,140.76,139.11,140.42,4648394
2016-03-14,140.7,141.22,139.48,139.75,5475514
2016-03-15,139.12,140.41,139.01,140.4,3083767
2016-03-16,139.84,140.44,139.51,139.83,3270629
2016-03-17,139.99,142.58,139.68,142.4,4781401
2016-03-18,142.83,142.96,141.44,142.16,10716861
2016-03-21,142.16,142.61,141.71,142.13,2782539
2016-03-22,141.98,142.99,141.66,142.3,3535933
2016-03-23,142.17,142.17,140.9,141.0,2910355
2016-03-24,140.22,140.6,139.56,140.11,4581418
2016-03-28,140.95,141.62,140.33,141.29,3148521
2016-03-29,141.25,142.04,140.5,141.9,4157469
2016-03-30,142.91,143.4,142.29,142.46,3474028
2016-03-31,142.55,143.05,141.48,141.88,4082347
2016-04-01,141.21,144.05,141.11,143.71,4792485
2016-04-04,143.99,143.99,142.77,143.27,3495675
2016-04-05,142.42,142.48,140.93,141.29,3594749
2016-04-06,141.31,141.82,140.42,141.7,3151460
2016-04-07,140.8,141.2,140.27,141.03,3157286
2016-04-08,141.53,141.99,140.68,141.06,2337773
2016-04-11,141.79,142.094,140.96,140.99,2864298
2016-04-12,141.25,142.49,140.98,142.4,2897192
2016-04-13,142.95,144.14,142.89,143.99,3879712
2016-04-14,144.1,144.35,143.47,143.72,2640156
2016-04-15,144.14,144.16,142.94,143.4,4104357
2016-04-18,143.0,144.479,142.95,144.38,3096946
2016-04-19,144.78,146.38,144.515,145.95,3971690
2016-04-20,146.0,146.44,145.375,146.01,2518390
2016-04-21,146.09,146.42,144.67,144.86,3126635
2016-04-22,145.0,146.39,144.97,146.05,3020828
2016-04-25,145.66,146.368,145.5,146.18,2451762
2016-04-26,146.49,147.16,146.3,147.02,3249020
2016-04-27,146.9,148.03,146.5,147.6,3518146
2016-04-28,146.64,147.46,145.76,146.09,2772500
2016-04-29,145.4,146.22,144.52,145.55,4622064
2016-05-02,145.77,147.14,145.69,146.847,3036117
2016-05-03,145.91,146.09,144.08,144.9,4032797
2016-05-04,144.16,144.4,143.33,144.24,2779102
2016-05-05,144.22,144.82,143.48,143.88,2651322
2016-05-06,143.84,144.84,143.33,144.67,2557421
2016-05-09,144.54,144.54,141.92,142.192,3890885
2016-05-10,143.32,144.9,143.25,144.78,3421120
2016-05-11,144.88,144.98,142.64,142.64,3413433
2016-05-12,143.59,143.72,142.305,143.31,2684582
2016-05-13,143.21,143.7,141.13,141.4,3652087
2016-05-16,141.4,142.15,141.21,141.85,3083788
2016-05-17,141.97,141.99,139.901,140.34,4482268
2016-05-18,140.18,141.85,139.95,141.4,3277531
2016-05-19,141.07,141.65,139.68,140.79,3206605
2016-05-20,141.48,142.49,141.16,141.85,3986720
2016-05-23,141.85,142.0,141.05,141.48,2275601
2016-05-24,141.98,144.05,141.73,143.71,3521014
2016-05-25,143.73,144.94,143.72,144.15,3153046
2016-05-26,144.0,144.19,142.88,143.191,3145728
2016-05-27,143.49,143.62,142.77,143.3,2679870
2016-05-31,143.89,144.14,140.526,141.3,8293104
2016-06-01,140.97,142.09,140.37,141.93,3614749
2016-06-02,141.65,142.11,140.96,142.11,3077024
2016-06-03,141.17,141.52,140.11,141.14,3541559
2016-06-06,141.62,142.5,141.39,141.82,3008758
2016-06-07,142.16,142.49,141.39,141.41,3143251
2016-06-08,141.57,142.69,141.53,142.53,2702075
2016-06-09,142.05,142.51,141.16,142.23,2399130
2016-06-10,141.31,142.36,141.24,141.526,2953622
2016-06-13,141.23,142.65,140.94,141.976,3277065
2016-06-14,140.79,141.55,140.515,141.3,3741081
2016-06-15,141.75,142.17,140.32,140.51,3408554
2016-06-16,140.09,142.07,138.96,141.99,3921368
2016-06-17,141.98,142.0,140.45,140.75,7420860
2016-06-20,141.96,142.94,141.6,141.6,4770126
2016-06-21,142.02,143.63,141.85,143.57,4091580
2016-06-22,143.63,144.66,143.57,143.94,4198223
2016-06-23,144.97,146.0,144.595,145.0,5498062
2016-06-24,140.74,142.0,139.47,139.65,14045309
2016-06-27,138.79,139.0,136.65,138.41,7078259
2016-06-28,139.79,140.36,138.29,140.28,5593442
2016-06-29,141.3,142.28,139.91,142.28,4636987
2016-06-30,142.21,144.82,142.101,144.79,6206813
2016-07-01,144.59,144.83,143.75,143.99,3230327
2016-07-05,143.25,143.56,141.76,142.24,3875456
2016-07-06,141.9,142.64,140.95,142.48,2951925
2016-07-07,142.38,143.04,141.19,141.91,3061677
2016-07-08,143.2,143.74,142.721,143.42,4138047
2016-07-11,143.75,144.23,143.43,143.93,3543491
2016-07-12,144.53,145.03,143.98,144.67,3515955
2016-07-13,144.88,145.99,144.41,145.93,3539395
2016-07-14,146.25,146.66,145.46,146.009,3567819
2016-07-15,146.25,146.44,145.12,145.97,4779573
2016-07-18,146.0,146.71,146.0,146.57,3343203
2016-07-19,146.06,146.99,145.85,146.96,3914300
2016-07-20,146.81,146.94,145.695,146.15,2938472
