Date,Open,High,Low,Close,Volume
2020-11-24,9.75,9.75,9.7441,9.7441,900
2020-11-27,9.8,9.82,9.8,9.82,4500
2020-11-30,9.82,10.8,9.72,9.95,53097
2020-12-01,9.8734,9.97,9.8734,9.97,1800
2020-12-02,10.11,10.11,9.97,10.05,78500
2020-12-03,10.05,10.05,10.05,10.05,1100
2020-12-04,10.04,10.1846,9.99,10.06,84050
2020-12-07,10.1,10.25,10.05,10.2,187500
2020-12-08,10.12,10.2,9.9,10.13,14281
2020-12-09,10.21,11.39,10.2,10.3,213370
2020-12-10,10.18,10.25,10.16,10.25,268269
2020-12-11,10.35,11.04,10.13,10.35,269383
2020-12-14,10.49,11.04,10.14,10.3,62471
2020-12-15,10.2237,10.46,10.0,10.3412,101012
2020-12-16,10.5,10.5665,10.25,10.44,4804
2020-12-17,10.275,10.5,10.2,10.3,8052
2020-12-18,10.2,10.34,10.15,10.34,27932
2020-12-21,10.2,10.33,10.2,10.23,411850
2020-12-22,10.25,10.28,10.15,10.24,42154
2020-12-23,10.1,10.33,10.1,10.25,69413
2020-12-24,10.3485,10.4999,10.2896,10.3,3052
2020-12-28,10.41,10.4516,10.32,10.32,279975
2020-12-29,10.38,10.605,9.97,10.29,77105
2020-12-30,10.44,10.69,10.29,10.42,376779
2020-12-31,10.68,10.68,10.11,10.11,105148
2021-01-04,10.3,10.65,10.22,10.3,58397
2021-01-05,10.44,10.6,10.3525,10.3525,15345
2021-01-06,10.45,10.45,10.22,10.38,6223
2021-01-07,10.42,10.42,10.3769,10.41,511
2021-01-08,10.3477,10.42,10.3,10.42,3962
2021-01-11,10.45,10.45,10.3,10.4,3855
2021-01-12,10.48,10.67,10.27,10.31,200403
2021-01-13,10.6,10.6,10.275,10.52,418881
2021-01-14,10.33,10.6,10.31,10.5,156437
2021-01-15,10.45,10.48,10.25,10.35,543705
2021-01-19,10.49,10.49,10.335,10.4,332573
2021-01-20,10.33,10.49,10.33,10.4248,54316
2021-01-21,10.49,10.59,10.34,10.42,16857
2021-01-22,10.51,10.68,10.46,10.5,77352
2021-01-25,10.59,10.72,10.43,10.46,101441
2021-01-26,10.47,10.57,10.35,10.45,281350
2021-01-27,10.3,10.38,10.2,10.3,334149
2021-01-28,10.4,10.42,10.3,10.39,316524
2021-01-29,10.35,10.39,10.3,10.38,56996
2021-02-01,10.38,10.44,10.32,10.35,49317
2021-02-02,10.37,10.5,10.36,10.5,50083
2021-02-03,10.51,10.63,10.46,10.59,72431
2021-02-04,10.59,10.75,10.45,10.51,69549
2021-02-05,10.47,10.54,10.46,10.52,48047
2021-02-08,10.51,10.53,10.45,10.45,67088
2021-02-09,10.5,10.5,10.37,10.39,52403
2021-02-10,10.45,10.45,10.35,10.43,100590
2021-02-11,10.45,11.21,10.4,10.52,376274
2021-02-12,10.5,10.56,10.41,10.46,282535
2021-02-16,10.49,10.55,10.41,10.48,107931
2021-02-17,10.6,10.8,10.5,10.76,190797
2021-02-18,10.75,10.99,10.63,10.98,283573
2021-02-19,10.75,10.98,10.73,10.8,169464
2021-02-22,10.75,10.79,10.6,10.7,222178
2021-02-23,10.56,10.56,10.05,10.45,158827
2021-02-24,10.45,10.66,10.33,10.44,103446
2021-02-25,10.51,10.58,10.2,10.32,131572
2021-02-26,10.41,10.517,10.22,10.25,144253
2021-03-01,13.36,15.1499,12.71,13.96,32096529
2021-03-02,14.5,15.15,13.01,13.4,10196275
2021-03-03,13.8,14.1,12.5,12.65,5005896
2021-03-04,12.5,12.63,11.06,11.43,6645787
2021-03-05,12.2,12.55,11.3,12.5,3612128
2021-03-08,13.03,13.2,11.91,12.0,2391536
2021-03-09,12.5,12.7,12.06,12.35,1640094
2021-03-10,12.5498,12.96,11.8,12.49,2017403
2021-03-11,12.81,12.81,12.12,12.3,1900909
2021-03-12,12.3,12.45,12.04,12.18,1181765
2021-03-15,12.44,12.58,12.08,12.31,1054787
2021-03-16,12.35,12.4,11.55,11.9,1510660
2021-03-17,11.7,12.18,11.5,11.9,1188199
2021-03-18,11.85,12.0399,11.31,11.5,1395008
2021-03-19,11.5075,12.06,11.29,11.6,854038
2021-03-22,12.25,13.17,12.01,12.6,2436803
2021-03-23,12.7735,12.95,11.91,12.25,1846481
2021-03-24,12.35,12.39,11.3,11.4,1871772
2021-03-25,11.13,11.89,10.8,11.7001,2979848
2021-03-26,12.18,12.19,11.36,11.5,1177222
2021-03-29,12.1,12.6,11.71,11.9,1505942
2021-03-30,11.71,11.79,11.3,11.3,916120
2021-03-31,11.47,11.87,11.44,11.6,766889
2021-04-01,11.95,11.9916,11.23,11.5,1123980
2021-04-05,11.79,11.79,10.92,11.06,1434408
2021-04-06,11.09,11.09,10.89,11.0,718517
2021-04-07,11.0,11.32,10.6,10.76,1207306
2021-04-08,10.79,11.14,10.68,11.14,1011245
2021-04-09,11.15,11.25,10.9,11.15,778348
2021-04-12,11.0,11.16,10.7,10.8,664533
2021-04-13,10.79,10.87,10.6,10.83,694207
2021-04-14,11.11,11.21,10.64,10.74,722923
2021-04-15,10.86,10.86,10.5,10.5399,979686
2021-04-16,10.5535,11.11,10.2696,10.89,1089621
2021-04-19,11.06,11.06,10.4001,10.7437,892513
2021-04-20,10.49,10.79,10.27,10.55,892282
2021-04-21,10.5,10.79,10.37,10.56,345920
2021-04-22,10.65,10.69,10.45,10.53,606965
2021-04-23,10.69,10.85,10.49,10.8,691547
2021-04-26,10.8,10.8,10.65,10.7,542051
2021-04-27,10.75,10.82,10.61,10.65,306592
