short_ma,long_ma,num_rows,num_trades,total_pnl,total_return,win_rate,avg_trade_return,avg_holding_days,buy_hold_return,buy_hold_pnl,excess_vs_bh,rank
20,75,51,1,7.30999755859375,0.0152237694028636,1.0,0.0152237694028636,2.0,-0.055561080349295,-27.970003662109377,0.0707848497521587,1
45,50,76,2,6.180023193359432,0.0129138239114512,1.0,0.0064437879668338,9.5,-0.0474053412425894,-23.660006103515627,0.0603191651540406,2
40,55,71,1,5.870025634765682,0.0122463142286231,1.0,0.0122463142286231,16.0,-0.0361856275937451,-17.850008544921877,0.0484319418223682,3
45,65,61,1,3.809997558593807,0.0079978116619967,1.0,0.0079978116619967,7.0,-0.0243181849353052,-11.850008544921875,0.032315996597302,4
55,65,61,1,3.160000000000025,0.0066533319296768,1.0,0.0066533319296768,12.0,-0.0243181849353052,-11.850008544921875,0.0309715168649821,5
40,60,66,1,2.80999755859375,0.0059124237245136,1.0,0.0059124237245136,12.0,-0.0166090992211064,-8.030001220703127,0.02252152294562,6
40,65,61,1,2.69000244140625,0.0056672195269293,1.0,0.0056672195269293,3.0,-0.0243181849353052,-11.850008544921875,0.0299854044622346,7
55,70,56,1,0.8100134277343614,0.0017158393720857,1.0,0.0017158393720857,7.0,-0.0454545197209621,-22.639986572265627,0.0471703590930479,8
50,55,71,2,0.4299938964844045,0.0006346972686539,0.5,0.0003261558978397,6.0,-0.0361856275937451,-17.850008544921877,0.036820324862399,9
40,75,51,0,0.0,0.0,-1.0,,,-0.055561080349295,-27.970003662109377,0.055561080349295,10
45,75,51,0,0.0,0.0,-1.0,,,-0.055561080349295,-27.970003662109377,0.055561080349295,11
50,75,51,0,0.0,0.0,-1.0,,,-0.055561080349295,-27.970003662109377,0.055561080349295,12
55,75,51,0,0.0,0.0,-1.0,,,-0.055561080349295,-27.970003662109377,0.055561080349295,13
60,75,51,0,0.0,0.0,-1.0,,,-0.055561080349295,-27.970003662109377,0.055561080349295,14
65,75,51,0,0.0,0.0,-1.0,,,-0.055561080349295,-27.970003662109377,0.055561080349295,15
70,75,51,0,0.0,0.0,-1.0,,,-0.055561080349295,-27.970003662109377,0.055561080349295,16
40,70,56,0,0.0,0.0,-1.0,,,-0.0454545197209621,-22.639986572265627,0.0454545197209621,17
45,70,56,0,0.0,0.0,-1.0,,,-0.0454545197209621,-22.639986572265627,0.0454545197209621,18
60,70,56,0,0.0,0.0,-1.0,,,-0.0454545197209621,-22.639986572265627,0.0454545197209621,19
65,70,56,0,0.0,0.0,-1.0,,,-0.0454545197209621,-22.639986572265627,0.0454545197209621,20
