short_ma,long_ma,num_rows,num_trades,total_pnl,total_return,win_rate,avg_trade_return,avg_holding_days,buy_hold_return,buy_hold_pnl,excess_vs_bh,rank
90,100,26,1,56.10000244140622,0.096010683842151,1.0,0.096010683842151,15.0,0.1328984248209226,77.61001953125003,-0.0368877409787715,1
90,105,21,1,55.74000000000001,0.0947153780798641,1.0,0.0947153780798641,15.0,0.146245553198921,84.41000732421878,-0.0515301751190568,2
95,105,21,1,52.80999755859375,0.0864221724607963,1.0,0.0864221724607963,14.0,0.146245553198921,84.41000732421878,-0.0598233807381247,3
85,100,26,1,48.489990234375,0.0861921660232578,1.0,0.0861921660232578,14.0,0.1328984248209226,77.61001953125003,-0.0467062587976647,4
90,95,31,1,40.21002197265625,0.0696663475569281,1.0,0.0696663475569281,13.0,0.0979831471924701,59.03976806640628,-0.028316799635542,5
95,100,26,1,40.699951171875,0.0671516596025108,1.0,0.0671516596025108,12.0,0.1328984248209226,77.61001953125003,-0.0657467652184118,6
85,95,31,1,26.21002197265625,0.0448817131567043,1.0,0.0448817131567043,16.0,0.0979831471924701,59.03976806640628,-0.0531014340357658,7
100,105,21,1,20.350000000000023,0.0319345929320193,1.0,0.0319345929320193,13.0,0.146245553198921,84.41000732421878,-0.1143109602669016,8
20,30,96,2,13.87506103515625,0.0231829800315772,0.5,0.0117855388742883,23.0,0.0568309843088323,35.57693847656253,-0.0336480042772551,9
85,110,16,1,10.190000000000056,0.0156432299662265,1.0,0.0156432299662265,6.0,0.0915705104610904,55.49997314453128,-0.0759272804948638,10
90,110,16,1,8.32000000000005,0.0129916772067895,1.0,0.0129916772067895,1.0,0.0915705104610904,55.49997314453128,-0.0785788332543009,11
85,90,36,2,6.690000000000055,0.0103610303501198,1.0,0.0051764749498203,9.5,0.0899257729686509,54.58536132812503,-0.079564742618531,12
35,40,86,2,2.30706787109375,0.0032487902277775,0.5,0.0017420517419441,15.0,0.0616963256920255,38.44571289062503,-0.0584475354642479,13
60,75,51,1,1.89764404296875,0.003136461233214,1.0,0.003136461233214,21.0,0.1016535092159069,61.04727539062503,-0.0985170479826929,14
5,115,11,0,0.0,0.0,-1.0,,,0.0382116627958069,24.350000000000023,-0.0382116627958069,15
10,115,11,0,0.0,0.0,-1.0,,,0.0382116627958069,24.350000000000023,-0.0382116627958069,16
15,115,11,0,0.0,0.0,-1.0,,,0.0382116627958069,24.350000000000023,-0.0382116627958069,17
20,115,11,0,0.0,0.0,-1.0,,,0.0382116627958069,24.350000000000023,-0.0382116627958069,18
25,115,11,0,0.0,0.0,-1.0,,,0.0382116627958069,24.350000000000023,-0.0382116627958069,19
30,115,11,0,0.0,0.0,-1.0,,,0.0382116627958069,24.350000000000023,-0.0382116627958069,20
