short_ma,long_ma,num_rows,num_trades,total_pnl,total_return,win_rate,avg_trade_return,avg_holding_days,buy_hold_return,buy_hold_pnl,excess_vs_bh,rank
5,55,11,1,0.6999999999999886,0.00398519783660678,1.0,0.00398519783660678,1.0,0.019782732990280216,3.460000000000008,-0.015797535153673437,1
10,20,46,0,0.0,0.0,-1.0,,,-0.003686738911853449,-0.6599999999999966,0.003686738911853449,2
10,25,41,0,0.0,0.0,-1.0,,,-0.003129890453833939,-0.5599999999999739,0.003129890453833939,3
20,25,41,0,0.0,0.0,-1.0,,,-0.003129890453833939,-0.5599999999999739,0.003129890453833939,4
5,35,31,0,0.0,0.0,-1.0,,,0.010538243626062371,1.8600000000000136,-0.010538243626062371,5
10,35,31,0,0.0,0.0,-1.0,,,0.010538243626062371,1.8600000000000136,-0.010538243626062371,6
15,35,31,0,0.0,0.0,-1.0,,,0.010538243626062371,1.8600000000000136,-0.010538243626062371,7
20,35,31,0,0.0,0.0,-1.0,,,0.010538243626062371,1.8600000000000136,-0.010538243626062371,8
25,35,31,0,0.0,0.0,-1.0,,,0.010538243626062371,1.8600000000000136,-0.010538243626062371,9
30,35,31,0,0.0,0.0,-1.0,,,0.010538243626062371,1.8600000000000136,-0.010538243626062371,10
5,30,36,0,0.0,0.0,-1.0,,,0.015370602299897618,2.700000000000017,-0.015370602299897618,11
10,30,36,0,0.0,0.0,-1.0,,,0.015370602299897618,2.700000000000017,-0.015370602299897618,12
15,30,36,0,0.0,0.0,-1.0,,,0.015370602299897618,2.700000000000017,-0.015370602299897618,13
20,30,36,0,0.0,0.0,-1.0,,,0.015370602299897618,2.700000000000017,-0.015370602299897618,14
25,30,36,0,0.0,0.0,-1.0,,,0.015370602299897618,2.700000000000017,-0.015370602299897618,15
10,55,11,0,0.0,0.0,-1.0,,,0.019782732990280216,3.460000000000008,-0.019782732990280216,16
15,55,11,0,0.0,0.0,-1.0,,,0.019782732990280216,3.460000000000008,-0.019782732990280216,17
20,55,11,0,0.0,0.0,-1.0,,,0.019782732990280216,3.460000000000008,-0.019782732990280216,18
25,55,11,0,0.0,0.0,-1.0,,,0.019782732990280216,3.460000000000008,-0.019782732990280216,19
30,55,11,0,0.0,0.0,-1.0,,,0.019782732990280216,3.460000000000008,-0.019782732990280216,20
35,55,11,0,0.0,0.0,-1.0,,,0.019782732990280216,3.460000000000008,-0.019782732990280216,21
40,55,11,0,0.0,0.0,-1.0,,,0.019782732990280216,3.460000000000008,-0.019782732990280216,22
45,55,11,0,0.0,0.0,-1.0,,,0.019782732990280216,3.460000000000008,-0.019782732990280216,23
50,55,11,0,0.0,0.0,-1.0,,,0.019782732990280216,3.460000000000008,-0.019782732990280216,24
5,50,16,0,0.0,0.0,-1.0,,,0.03397101449275364,5.860000000000014,-0.03397101449275364,25
10,50,16,0,0.0,0.0,-1.0,,,0.03397101449275364,5.860000000000014,-0.03397101449275364,26
15,50,16,0,0.0,0.0,-1.0,,,0.03397101449275364,5.860000000000014,-0.03397101449275364,27
20,50,16,0,0.0,0.0,-1.0,,,0.03397101449275364,5.860000000000014,-0.03397101449275364,28
25,50,16,0,0.0,0.0,-1.0,,,0.03397101449275364,5.860000000000014,-0.03397101449275364,29
30,50,16,0,0.0,0.0,-1.0,,,0.03397101449275364,5.860000000000014,-0.03397101449275364,30
35,50,16,0,0.0,0.0,-1.0,,,0.03397101449275364,5.860000000000014,-0.03397101449275364,31
40,50,16,0,0.0,0.0,-1.0,,,0.03397101449275364,5.860000000000014,-0.03397101449275364,32
45,50,16,0,0.0,0.0,-1.0,,,0.03397101449275364,5.860000000000014,-0.03397101449275364,33
5,45,21,0,0.0,0.0,-1.0,,,0.040242622185932664,6.900000000000006,-0.040242622185932664,34
10,45,21,0,0.0,0.0,-1.0,,,0.040242622185932664,6.900000000000006,-0.040242622185932664,35
15,45,21,0,0.0,0.0,-1.0,,,0.040242622185932664,6.900000000000006,-0.040242622185932664,36
20,45,21,0,0.0,0.0,-1.0,,,0.040242622185932664,6.900000000000006,-0.040242622185932664,37
25,45,21,0,0.0,0.0,-1.0,,,0.040242622185932664,6.900000000000006,-0.040242622185932664,38
30,45,21,0,0.0,0.0,-1.0,,,0.040242622185932664,6.900000000000006,-0.040242622185932664,39
35,45,21,0,0.0,0.0,-1.0,,,0.040242622185932664,6.900000000000006,-0.040242622185932664,40
40,45,21,0,0.0,0.0,-1.0,,,0.040242622185932664,6.900000000000006,-0.040242622185932664,41
5,40,26,0,0.0,0.0,-1.0,,,0.051712954773276865,8.77000000000001,-0.051712954773276865,42
10,40,26,0,0.0,0.0,-1.0,,,0.051712954773276865,8.77000000000001,-0.051712954773276865,43
15,40,26,0,0.0,0.0,-1.0,,,0.051712954773276865,8.77000000000001,-0.051712954773276865,44
20,40,26,0,0.0,0.0,-1.0,,,0.051712954773276865,8.77000000000001,-0.051712954773276865,45
25,40,26,0,0.0,0.0,-1.0,,,0.051712954773276865,8.77000000000001,-0.051712954773276865,46
30,40,26,0,0.0,0.0,-1.0,,,0.051712954773276865,8.77000000000001,-0.051712954773276865,47
35,40,26,0,0.0,0.0,-1.0,,,0.051712954773276865,8.77000000000001,-0.051712954773276865,48
10,15,51,1,-0.46999999999999886,-0.002671061604910152,0.0,-0.002671061604910152,6.0,-0.004965132496513203,-0.8899999999999864,0.0022940708916030506,49
5,15,51,1,-6.969999999999999,-0.03810200623189197,0.0,-0.03810200623189197,7.0,-0.004965132496513203,-0.8899999999999864,-0.03313687373537877,50
5,20,46,1,-6.969999999999999,-0.03810200623189197,0.0,-0.03810200623189197,7.0,-0.003686738911853449,-0.6599999999999966,-0.03441526732003852,51
15,25,41,1,-7.530000000000001,-0.04110486380260936,0.0,-0.04110486380260936,4.0,-0.003129890453833939,-0.5599999999999739,-0.03797497334877542,52
