k_body,k_volume,price_zone_window,num_rows,num_trades,total_pnl,total_return,win_rate,avg_trade_return,avg_holding_days,buy_hold_return,buy_hold_pnl,excess_vs_bh,rank
1.2,1.2,3,12,0,0.0,0.0,-1.0,,,-0.008841950141225574,-2.1599999999999966,0.008841950141225574,1
1.2,1.2,5,12,0,0.0,0.0,-1.0,,,-0.008841950141225574,-2.1599999999999966,0.008841950141225574,2
1.2,1.2,7,12,0,0.0,0.0,-1.0,,,-0.008841950141225574,-2.1599999999999966,0.008841950141225574,3
1.2,1.2,10,12,0,0.0,0.0,-1.0,,,-0.008841950141225574,-2.1599999999999966,0.008841950141225574,4
1.2,1.5,3,12,0,0.0,0.0,-1.0,,,-0.008841950141225574,-2.1599999999999966,0.008841950141225574,5
1.2,1.5,5,12,0,0.0,0.0,-1.0,,,-0.008841950141225574,-2.1599999999999966,0.008841950141225574,6
1.2,1.5,7,12,0,0.0,0.0,-1.0,,,-0.008841950141225574,-2.1599999999999966,0.008841950141225574,7
1.2,1.5,10,12,0,0.0,0.0,-1.0,,,-0.008841950141225574,-2.1599999999999966,0.008841950141225574,8
1.2,1.8,3,12,0,0.0,0.0,-1.0,,,-0.008841950141225574,-2.1599999999999966,0.008841950141225574,9
1.2,1.8,5,12,0,0.0,0.0,-1.0,,,-0.008841950141225574,-2.1599999999999966,0.008841950141225574,10
