symbol,asof_date,close_price,signal,signal_strength,target_weight,predicted_future_return,target_horizon_days,update_interval_months,selection_criterion,active_anchor_date,active_model_name,nonzero_count,model_age_days,dataset_staleness_days,dominant_family,selection_correlation,selection_directional_accuracy,selection_mse,selection_long_short_strategy_return
BRK-B,2026-04-24,469.3200073242188,BUY,moderate,0.5499862359316408,0.028101600139116327,130,1,selection_cv_mse,2026-03-31,elastic_net,21,24,3,adaptive_band,0.9155488363517089,0.9130434782608695,0.0002872587618453316,77.98062793909801
BRK-B,2026-04-24,469.3200073242188,BUY,moderate,0.5499862359316408,0.028101600139116327,130,1,selection_cv_mse,2026-03-31,elastic_net,21,24,3,adaptive_band,0.9155488363517089,0.9130434782608695,0.0002872587618453316,77.98062793909801
BRK-B,2026-04-29,475.44,BUY,moderate,0.4328355935837133,0.01934014543717047,130,1,selection_cv_mse,2026-03-31,elastic_net,22,29,1,ma_crossover,0.8746312382288931,0.9078014184397163,0.00043182516743766296,92.05489709754534
BRK-B,2026-04-29,475.44,BUY,moderate,0.4328355935837133,0.01934014543717047,130,1,selection_cv_mse,2026-03-31,elastic_net,22,29,1,ma_crossover,0.8746312382288931,0.9078014184397163,0.00043182516743766296,92.05489709754534
BRK-B,2026-04-30,474.225,BUY,moderate,0.5306288458817383,0.023782750989942453,130,1,selection_cv_mse,2026-03-31,elastic_net,22,30,0,ma_crossover,0.8742838680509839,0.9084507042253521,0.0004315648508420368,95.3065288961124
BRK-B,2026-04-29,475.44,HOLD,flat,0.0,-0.026521919838619193,130,1,selection_cv_mse,2026-03-31,ols,40,29,2,adaptive_volatility_band,0.9205627706251888,0.8936170212765957,0.0002676446848201769,82.74522682081259
BRK-B,2026-04-24,469.3200073242188,BUY,moderate,0.5447715617096406,0.024263773530765337,130,1,selection_cv_mse,2026-03-31,elastic_net,33,24,12,ma_crossover,0.8756824942370393,0.9057971014492754,0.00043281116688232904,82.93969410519844
BRK-B,2026-05-06,469.08,BUY,moderate,0.41679258000264985,0.022416183135142136,130,1,selection_cv_mse,2026-04-29,ridge,60,7,0,ma_crossover,0.8746158636668083,0.873015873015873,0.0003228984644053554,27.491295248289045
BRK-B,2026-05-08,475.65,BUY,weak,0.2081202921117012,0.011210989208380534,130,1,selection_cv_mse,2026-04-29,ridge,60,9,0,ma_crossover,0.8747331719067206,0.875,0.0003176094526560647,27.71458944801041
BRK-B,2026-05-11,478.645,BUY,weak,0.17381669878721465,0.009378909843969788,130,1,selection_cv_mse,2026-04-29,ridge,60,12,0,ma_crossover,0.8747060392187451,0.8682170542635659,0.00031508205531821263,27.609275550552958
BRK-B,2026-05-11,478.645,BUY,weak,0.17381669878721465,0.009378909843969788,130,1,selection_cv_mse,2026-04-29,ridge,60,12,1,ma_crossover,0.8747060392187451,0.8682170542635659,0.00031508205531821263,27.609275550552958
BRK-B,2026-05-12,485.05,HOLD,flat,0.0,-0.0006586743116065598,130,1,selection_cv_mse,2026-04-29,ridge,60,13,1,ma_crossover,0.8734498800665801,0.8615384615384616,0.00031628123186218236,27.04572626200429
BRK-B,2026-05-12,485.05,HOLD,flat,0.0,-0.0006586743116065598,130,1,selection_cv_mse,2026-04-29,ridge,60,13,1,ma_crossover,0.8734498800665801,0.8615384615384616,0.00031628123186218236,27.04572626200429
BRK-B,2026-05-13,485.44,BUY,weak,0.0011591536845752815,6.216772203800752e-05,130,1,selection_cv_mse,2026-04-29,ridge,60,14,1,ma_crossover,0.8729104225915326,0.8702290076335878,0.000315183307657774,28.305630026097756
BRK-B,2026-05-14,484.18,BUY,weak,0.2343982465902502,0.01049680750438383,130,1,selection_cv_mse,2026-04-29,elastic_net,8,15,1,ma_crossover,0.893404595149616,0.8939393939393939,0.00026968658459949803,34.82580625417215
