Date,w_GLD,w_BRK-B,w_QQQ,w_RKLB
2025-09-02,0.309562,0.453699,0.058207,0.178532
2025-09-03,0.324533,0.454454,0.035673,0.185340
2025-09-04,0.294070,0.479860,0.025689,0.200382
2025-09-05,0.275519,0.467898,0.053928,0.202655
2025-09-08,0.293390,0.471345,0.028266,0.206998
2025-09-09,0.151177,0.567577,0.021843,0.259403
2025-09-10,0.306785,0.473123,0.011572,0.208520
2025-09-11,0.325531,0.477833,0.001684,0.194952
2025-09-12,0.372140,0.471338,0.000000,0.156521
2025-09-15,0.361746,0.482458,0.000000,0.155796
2025-09-16,0.312439,0.505834,0.000000,0.181727
2025-09-17,0.303229,0.512007,0.000000,0.184764
2025-09-18,0.311379,0.508153,0.000000,0.180469
2025-09-19,0.293096,0.513618,0.000000,0.193287
2025-09-22,0.262246,0.523093,0.000000,0.214661
2025-09-23,0.114353,0.645888,0.000000,0.239759
2025-09-24,0.250564,0.540064,0.002980,0.206393
2025-09-25,0.284771,0.497232,0.024349,0.193648
2025-09-26,0.260873,0.526812,0.000000,0.212316
2025-09-29,0.257874,0.519854,0.000000,0.222272
2025-09-30,0.225677,0.527865,0.000000,0.246458
2025-10-01,0.409490,0.409490,0.000000,0.181019
2025-10-02,0.420717,0.420717,0.000000,0.158566
2025-10-03,0.431084,0.431084,0.000000,0.137832
2025-10-07,0.443516,0.443516,0.000000,0.112969
2025-10-08,0.445178,0.445178,0.000000,0.109645
2025-10-09,0.445178,0.445178,0.000000,0.109645
2025-10-13,0.430313,0.430313,0.015818,0.123556
2025-10-14,0.424738,0.424738,0.035730,0.114795
2025-10-15,0.432430,0.432430,0.021044,0.114096
2025-10-16,0.421108,0.421108,0.035577,0.122206
2025-10-17,0.424495,0.424495,0.025078,0.125931
2025-10-20,0.435953,0.435953,0.000000,0.128093
2025-10-21,0.435415,0.435415,0.000000,0.129171
2025-10-22,0.418301,0.418301,0.039305,0.124094
2025-10-23,0.427831,0.427831,0.017661,0.126677
2025-10-27,0.438252,0.438252,0.000000,0.123497
2025-10-28,0.436438,0.436438,0.000000,0.127124
2025-10-29,0.438771,0.438771,0.000000,0.122459
2025-10-30,0.430767,0.430767,0.006170,0.132296
2025-10-31,0.430855,0.430855,0.000000,0.138290
2025-11-03,0.398615,0.393613,0.025856,0.181917
