short_ma,long_ma,num_rows,num_trades,total_pnl,total_return,win_rate,avg_trade_return,avg_holding_days,buy_hold_return,buy_hold_pnl,excess_vs_bh,rank
10,15,49,2,11.379999999999995,0.08321990187764694,1.0,0.041249139825273895,26.0,0.0761746901124245,10.570000000000022,0.007045211765222437,1
5,10,54,3,5.400000000000034,0.03803218642203676,0.3333333333333333,0.012935159466267073,14.666666666666666,0.08225829830410225,11.350000000000023,-0.04422611188206549,2
20,25,39,1,0.10000000000002274,0.0007198387561186959,1.0,0.0007198387561186959,7.0,0.07431654676258992,10.330000000000013,-0.07359670800647122,3
5,45,19,0,0.0,0.0,-1.0,,,0.013162358368953297,1.9400000000000261,-0.013162358368953297,4
10,45,19,0,0.0,0.0,-1.0,,,0.013162358368953297,1.9400000000000261,-0.013162358368953297,5
15,45,19,0,0.0,0.0,-1.0,,,0.013162358368953297,1.9400000000000261,-0.013162358368953297,6
20,45,19,0,0.0,0.0,-1.0,,,0.013162358368953297,1.9400000000000261,-0.013162358368953297,7
25,45,19,0,0.0,0.0,-1.0,,,0.013162358368953297,1.9400000000000261,-0.013162358368953297,8
30,45,19,0,0.0,0.0,-1.0,,,0.013162358368953297,1.9400000000000261,-0.013162358368953297,9
35,45,19,0,0.0,0.0,-1.0,,,0.013162358368953297,1.9400000000000261,-0.013162358368953297,10
