rank,objective_value,w1,w2,w3,w4
1,0.3851474720158401,1.0,0.0,0.0,0.0
2,0.37402007078106614,0.9,0.1,0.0,0.0
3,0.37287347117994246,0.9,0.0,0.1,0.0
4,0.36270276540393204,0.8,0.2,0.0,0.0
5,0.36166160209752585,0.8,0.1,0.1,0.0
6,0.3604645067667642,0.8,0.0,0.2,0.0
7,0.351195175204331,0.7000000000000001,0.30000000000000004,0.0,0.0
8,0.3491682512245905,0.7000000000000001,0.1,0.2,0.0
9,0.3487328394773867,0.9,0.0,0.0,0.09999999999999998
10,0.34792041960039355,0.7000000000000001,0.0,0.30000000000000004,0.0
