rank,objective_value,w1,w2,w3,w4
1,0.39584089656902477,1.0,0.0,0.0,0.0
2,0.39131401687347167,0.9800000000000001,0.0,0.02,0.0
3,0.3906413552902862,0.9800000000000001,0.02,0.0,0.0
4,0.3889571592704043,0.9800000000000001,0.0,0.0,0.019999999999999907
5,0.386778715728292,0.9600000000000001,0.0,0.04,0.0
6,0.386110135434255,0.9600000000000001,0.02,0.02,0.0
7,0.38543549769105073,0.9600000000000001,0.04,0.0,0.0
8,0.3844251951615424,0.9600000000000001,0.0,0.02,0.019999999999999907
9,0.3837546256478821,0.9600000000000001,0.02,0.0,0.019999999999999907
10,0.38223498939525946,0.9400000000000001,0.0,0.06,0.0
