k_body,k_volume,price_zone_window,num_rows,num_trades,total_pnl,total_return,win_rate,avg_trade_return,avg_holding_days,buy_hold_return,buy_hold_pnl,excess_vs_bh,rank
1.2,2.0,5,2509,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.6197149830721989,78.71,-0.35160342103092423,1
1.2,2.0,7,2509,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.6197149830721989,78.71,-0.35160342103092423,2
1.2,2.0,10,2509,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.6197149830721989,78.71,-0.35160342103092423,3
1.5,2.0,5,2509,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.6197149830721989,78.71,-0.35160342103092423,4
1.5,2.0,7,2509,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.6197149830721989,78.71,-0.35160342103092423,5
1.5,2.0,10,2509,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.6197149830721989,78.71,-0.35160342103092423,6
1.8,2.0,5,2509,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.6197149830721989,78.71,-0.35160342103092423,7
1.8,2.0,7,2509,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.6197149830721989,78.71,-0.35160342103092423,8
1.8,2.0,10,2509,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.6197149830721989,78.71,-0.35160342103092423,9
2.0,1.8,5,2509,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.6197149830721989,78.71,-0.35160342103092423,10
2.0,1.8,7,2509,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.6197149830721989,78.71,-0.35160342103092423,11
2.0,1.8,10,2509,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.6197149830721989,78.71,-0.35160342103092423,12
2.0,2.0,5,2509,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.6197149830721989,78.71,-0.35160342103092423,13
2.0,2.0,7,2509,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.6197149830721989,78.71,-0.35160342103092423,14
2.0,2.0,10,2509,1,31.05000000000001,0.2681115620412746,1.0,0.2681115620412746,538.0,0.6197149830721989,78.71,-0.35160342103092423,15
1.2,1.5,5,2509,1,30.610000000000014,0.26331182795698926,1.0,0.26331182795698926,1029.0,0.6197149830721989,78.71,-0.3564031551152096,16
1.2,1.5,7,2509,1,30.610000000000014,0.26331182795698926,1.0,0.26331182795698926,1029.0,0.6197149830721989,78.71,-0.3564031551152096,17
1.2,1.5,10,2509,1,30.610000000000014,0.26331182795698926,1.0,0.26331182795698926,1029.0,0.6197149830721989,78.71,-0.3564031551152096,18
1.5,1.5,5,2509,1,30.610000000000014,0.26331182795698926,1.0,0.26331182795698926,1029.0,0.6197149830721989,78.71,-0.3564031551152096,19
1.5,1.5,7,2509,1,30.610000000000014,0.26331182795698926,1.0,0.26331182795698926,1029.0,0.6197149830721989,78.71,-0.3564031551152096,20
1.5,1.5,10,2509,1,30.610000000000014,0.26331182795698926,1.0,0.26331182795698926,1029.0,0.6197149830721989,78.71,-0.3564031551152096,21
1.8,1.5,5,2509,1,30.610000000000014,0.26331182795698926,1.0,0.26331182795698926,1029.0,0.6197149830721989,78.71,-0.3564031551152096,22
1.8,1.5,7,2509,1,30.610000000000014,0.26331182795698926,1.0,0.26331182795698926,1029.0,0.6197149830721989,78.71,-0.3564031551152096,23
1.8,1.5,10,2509,1,30.610000000000014,0.26331182795698926,1.0,0.26331182795698926,1029.0,0.6197149830721989,78.71,-0.3564031551152096,24
2.0,1.5,5,2509,1,30.610000000000014,0.26331182795698926,1.0,0.26331182795698926,1029.0,0.6197149830721989,78.71,-0.3564031551152096,25
2.0,1.5,7,2509,1,30.610000000000014,0.26331182795698926,1.0,0.26331182795698926,1029.0,0.6197149830721989,78.71,-0.3564031551152096,26
2.0,1.5,10,2509,1,30.610000000000014,0.26331182795698926,1.0,0.26331182795698926,1029.0,0.6197149830721989,78.71,-0.3564031551152096,27
2.5,1.5,5,2509,1,30.610000000000014,0.26331182795698926,1.0,0.26331182795698926,1029.0,0.6197149830721989,78.71,-0.3564031551152096,28
2.5,1.5,7,2509,1,30.610000000000014,0.26331182795698926,1.0,0.26331182795698926,1029.0,0.6197149830721989,78.71,-0.3564031551152096,29
2.5,1.5,10,2509,1,30.610000000000014,0.26331182795698926,1.0,0.26331182795698926,1029.0,0.6197149830721989,78.71,-0.3564031551152096,30
3.0,1.5,5,2509,1,30.610000000000014,0.26331182795698926,1.0,0.26331182795698926,1029.0,0.6197149830721989,78.71,-0.3564031551152096,31
