Date,combined_score,adaptive_band_rank01_score,ma_crossover_rank01_score,adaptive_volatility_band_rank01_score,fear_greed_candle_volume_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_model_name,active_hold_days,prediction_scale,price
2020-01-02,1.0,1.0,0.13556430393637656,0.13166202143676028,0,1.0,1.0,2019-12-31,obj1_long_only_combination,130,1.0,143.95
2020-01-03,1.0,1.0,0.13400241092203916,0.23234928393991439,0,1.0,1.0,2019-12-31,obj1_long_only_combination,130,1.0,145.86
2020-01-06,1.0,1.0,0.14982158375951735,0.7304793422861628,-1,1.0,1.0,2019-12-31,obj1_long_only_combination,130,1.0,147.39
2020-01-07,1.0,1.0,0.20320628601865848,-0.45920530491472694,0,1.0,1.0,2019-12-31,obj1_long_only_combination,130,1.0,147.97
2020-01-08,1.0,1.0,0.2510242413805666,0.8105691101827842,-1,1.0,1.0,2019-12-31,obj1_long_only_combination,130,1.0,146.86
2020-01-09,1.0,1.0,0.32387253351060796,-0.36435755073771964,0,1.0,1.0,2019-12-31,obj1_long_only_combination,130,1.0,146.03
2020-01-10,1.0,1.0,0.38342471074941403,-0.5081774963439698,0,1.0,1.0,2019-12-31,obj1_long_only_combination,130,1.0,146.91
2020-01-13,1.0,1.0,0.4607584392283635,-0.683889923753956,0,1.0,1.0,2019-12-31,obj1_long_only_combination,130,1.0,145.82
2020-01-14,1.0,1.0,0.4954805223931643,-0.6261988918170631,0,1.0,1.0,2019-12-31,obj1_long_only_combination,130,1.0,145.69
2020-01-15,1.0,1.0,0.5293215377036727,-0.4819007217214528,0,1.0,1.0,2019-12-31,obj1_long_only_combination,130,1.0,146.54
2020-01-16,1.0,1.0,0.5093773653668316,-0.6394824667707321,0,1.0,1.0,2019-12-31,obj1_long_only_combination,130,1.0,146.31
2020-01-17,1.0,1.0,0.5117001806189225,-0.6409428684651617,0,1.0,1.0,2019-12-31,obj1_long_only_combination,130,1.0,146.58
2020-01-21,1.0,1.0,0.4948797943107085,-0.09062763095953377,0,1.0,1.0,2019-12-31,obj1_long_only_combination,130,1.0,146.74
2020-01-22,1.0,1.0,0.537371294008342,-0.805932836586999,0,1.0,1.0,2019-12-31,obj1_long_only_combination,130,1.0,146.79
2020-01-23,1.0,1.0,0.5806237159437052,-0.011181511943462428,0,1.0,1.0,2019-12-31,obj1_long_only_combination,130,1.0,147.12
2020-01-24,1.0,1.0,0.6481055038706894,0.5475667946111396,0,1.0,1.0,2019-12-31,obj1_long_only_combination,130,1.0,147.98
2020-01-27,1.0,1.0,0.6884343824715298,-0.3957953299510864,0,1.0,1.0,2019-12-31,obj1_long_only_combination,130,1.0,148.99
2020-01-28,1.0,1.0,0.739095784090324,-0.19126797119442357,0,1.0,1.0,2019-12-31,obj1_long_only_combination,130,1.0,147.66
2020-01-29,1.0,1.0,0.7424198128131267,-0.354205569921693,0,1.0,1.0,2019-12-31,obj1_long_only_combination,130,1.0,148.46
