date,slot,signal,weight,recycled_capital
2020-01-02,0,1.0,1.0,0.007692307692307693
2020-01-03,1,1.0,1.0,0.007692307692307693
2020-01-06,2,1.0,1.0,0.007692307692307693
2020-01-07,3,1.0,1.0,0.007692307692307693
2020-01-08,4,1.0,1.0,0.007692307692307693
2020-01-09,5,1.0,1.0,0.007692307692307693
2020-01-10,6,1.0,1.0,0.007692307692307693
2020-01-13,7,1.0,1.0,0.007692307692307693
2020-01-14,8,1.0,1.0,0.007692307692307693
2020-01-15,9,1.0,1.0,0.007692307692307693
2020-01-16,10,1.0,1.0,0.007692307692307693
2020-01-17,11,1.0,1.0,0.007692307692307693
2020-01-21,12,1.0,1.0,0.007692307692307693
2020-01-22,13,1.0,1.0,0.007692307692307693
2020-01-23,14,1.0,1.0,0.007692307692307693
2020-01-24,15,1.0,1.0,0.007692307692307693
2020-01-27,16,1.0,1.0,0.007692307692307693
2020-01-28,17,1.0,1.0,0.007692307692307693
2020-01-29,18,1.0,1.0,0.007692307692307693
2020-01-30,19,1.0,1.0,0.007692307692307693
2020-01-31,20,1.0,1.0,0.007692307692307693
2020-02-03,21,1.0,1.0,0.007692307692307693
2020-02-04,22,-0.7048235692595856,0.0,0.007692307692307693
2020-02-05,23,-0.5704494371449204,0.0,0.007692307692307693
2020-02-06,24,0.2987515748103982,0.2987515748103982,0.007692307692307693
2020-02-07,25,0.7403963815831498,0.7403963815831498,0.007692307692307693
2020-02-10,26,1.0,1.0,0.007692307692307693
2020-02-11,27,0.45530590326264947,0.45530590326264947,0.007692307692307693
2020-02-12,28,0.28832576369958945,0.28832576369958945,0.007692307692307693
2020-02-13,29,1.0,1.0,0.007692307692307693
2020-02-14,30,1.0,1.0,0.007692307692307693
2020-02-18,31,1.0,1.0,0.007692307692307693
2020-02-19,32,1.0,1.0,0.007692307692307693
2020-02-20,33,1.0,1.0,0.007692307692307693
2020-02-21,34,1.0,1.0,0.007692307692307693
2020-02-24,35,1.0,1.0,0.007692307692307693
2020-02-25,36,1.0,1.0,0.007692307692307693
2020-02-26,37,1.0,1.0,0.007692307692307693
2020-02-27,38,1.0,1.0,0.007692307692307693
2020-02-28,39,-0.5092381530800886,0.0,0.007692307692307693
2020-03-02,40,1.0,1.0,0.007692307692307693
2020-03-03,41,-0.050807334899212124,0.0,0.007692307692307693
2020-03-04,42,1.0,1.0,0.007692307692307693
2020-03-05,43,1.0,1.0,0.007692307692307693
2020-03-06,44,-0.5178995146059813,0.0,0.007692307692307693
2020-03-09,45,0.6117203934578442,0.6117203934578442,0.007692307692307693
2020-03-10,46,0.9570158845472299,0.9570158845472299,0.007692307692307693
2020-03-11,47,0.543296138623797,0.543296138623797,0.007692307692307693
2020-03-12,48,-0.5612438555100948,0.0,0.007692307692307693
2020-03-13,49,-1.0,0.0,0.007692307692307693
2020-03-16,50,-0.21005127128626208,0.0,0.007692307692307693
2020-03-17,51,0.30107150706169317,0.30107150706169317,0.007692307692307693
2020-03-18,52,1.0,1.0,0.007692307692307693
2020-03-19,53,1.0,1.0,0.007692307692307693
2020-03-20,54,1.0,1.0,0.007692307692307693
2020-03-23,55,0.2502007876788817,0.2502007876788817,0.007692307692307693
2020-03-24,56,0.6290921564648762,0.6290921564648762,0.007692307692307693
2020-03-25,57,1.0,1.0,0.007692307692307693
2020-03-26,58,0.8357712496202101,0.8357712496202101,0.007692307692307693
2020-03-27,59,1.0,1.0,0.007692307692307693
2020-03-30,60,1.0,1.0,0.007692307692307693
2020-03-31,61,-0.9685095998458636,0.0,0.007692307692307693
2020-04-01,62,0.6851253777239062,0.6851253777239062,0.007692307692307693
2020-04-02,63,0.9587998654583032,0.9587998654583032,0.007692307692307693
2020-04-03,64,1.0,1.0,0.007692307692307693
2020-04-06,65,-0.04490523817907996,0.0,0.007692307692307693
2020-04-07,66,1.0,1.0,0.007692307692307693
2020-04-08,67,1.0,1.0,0.007692307692307693
2020-04-09,68,0.6860362766608102,0.6860362766608102,0.007692307692307693
2020-04-13,69,-0.660102615950201,0.0,0.007692307692307693
2020-04-14,70,0.22974423453250203,0.22974423453250203,0.007692307692307693
2020-04-15,71,1.0,1.0,0.007692307692307693
2020-04-16,72,0.5711164561278295,0.5711164561278295,0.007692307692307693
2020-04-17,73,1.0,1.0,0.007692307692307693
2020-04-20,74,1.0,1.0,0.007692307692307693
2020-04-21,75,0.04797213900400077,0.04797213900400077,0.007692307692307693
2020-04-22,76,1.0,1.0,0.007692307692307693
2020-04-23,77,0.7607248686685133,0.7607248686685133,0.007692307692307693
2020-04-24,78,-0.6044615738185198,0.0,0.007692307692307693
2020-04-27,79,1.0,1.0,0.007692307692307693
2020-04-28,80,0.43940877571917614,0.43940877571917614,0.007692307692307693
2020-04-29,81,0.08719200863082864,0.08719200863082864,0.007692307692307693
2020-04-30,82,-0.7330061229441335,0.0,0.007692307692307693
2020-05-01,83,-1.0,0.0,0.007692307692307693
2020-05-04,84,-1.0,0.0,0.007692307692307693
2020-05-05,85,-1.0,0.0,0.007692307692307693
2020-05-06,86,-1.0,0.0,0.007692307692307693
2020-05-07,87,-1.0,0.0,0.007692307692307693
2020-05-08,88,-1.0,0.0,0.007692307692307693
2020-05-11,89,-1.0,0.0,0.007692307692307693
2020-05-12,90,-1.0,0.0,0.007692307692307693
2020-05-13,91,0.16907070791467874,0.17161658322827372,0.007692307692307693
2020-05-14,92,0.9213921848952016,0.9352665552494549,0.007692307692307693
2020-05-15,93,0.7389667907832822,0.7500941902803676,0.007692307692307693
2020-05-18,94,-0.567362424551753,0.0,0.007692307692307693
2020-05-19,95,0.15080327210732022,0.15307407544399948,0.007692307692307693
2020-05-20,96,0.041353278624777695,0.04197597839628493,0.007692307692307693
2020-05-21,97,-1.0,0.0,0.007692307692307693
2020-05-22,98,-1.0,0.0,0.007692307692307693
2020-05-26,99,-1.0,0.0,0.007692307692307693
2020-05-27,100,-1.0,0.0,0.007692307692307693
2020-05-28,101,-1.0,0.0,0.007692307692307693
2020-05-29,102,-1.0,0.0,0.007692307692307693
2020-06-01,103,-0.7868277415108038,0.0,0.007692307692307693
2020-06-02,104,-1.0,0.0,0.007692307692307693
2020-06-03,105,-1.0,0.0,0.007692307692307693
2020-06-04,106,-1.0,0.0,0.007692307692307693
2020-06-05,107,-1.0,0.0,0.007692307692307693
2020-06-08,108,-1.0,0.0,0.007692307692307693
2020-06-09,109,-1.0,0.0,0.007692307692307693
2020-06-10,110,-0.23810487787597978,0.0,0.007692307692307693
2020-06-11,111,-1.0,0.0,0.007692307692307693
2020-06-12,112,-0.937704417788085,0.0,0.007692307692307693
2020-06-15,113,-0.9958118507720597,0.0,0.007692307692307693
2020-06-16,114,-1.0,0.0,0.007692307692307693
2020-06-17,115,-0.9756104071148674,0.0,0.007692307692307693
2020-06-18,116,-1.0,0.0,0.007692307692307693
2020-06-19,117,0.18532391884065394,0.18811453583051832,0.007692307692307693
