Date,fear_greed_candle_volume_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2021-01-04,0,0,0.0,2020-12-31,fear_greed_candle_volume,45,0.09999999999999787,182.33
2021-01-05,0,0,0.0,2020-12-31,fear_greed_candle_volume,45,0.09999999999999787,182.87
2021-01-06,0,0,0.0,2020-12-31,fear_greed_candle_volume,45,0.09999999999999787,179.9
2021-01-07,0,0,0.0,2020-12-31,fear_greed_candle_volume,45,0.09999999999999787,179.48
2021-01-08,0,0,0.0,2020-12-31,fear_greed_candle_volume,45,0.09999999999999787,173.34
2021-01-11,0,0,0.0,2020-12-31,fear_greed_candle_volume,45,0.09999999999999787,173.0
2021-01-12,0,0,0.0,2020-12-31,fear_greed_candle_volume,45,0.09999999999999787,174.12
2021-01-13,0,0,0.0,2020-12-31,fear_greed_candle_volume,45,0.09999999999999787,173.37
2021-01-14,0,0,0.0,2020-12-31,fear_greed_candle_volume,45,0.09999999999999787,173.28
2021-01-15,0,0,0.0,2020-12-31,fear_greed_candle_volume,45,0.09999999999999787,171.13
2021-01-19,0,0,0.0,2020-12-31,fear_greed_candle_volume,45,0.09999999999999787,172.58
2021-01-20,0,0,0.0,2020-12-31,fear_greed_candle_volume,45,0.09999999999999787,175.39
2021-01-21,0,0,0.0,2020-12-31,fear_greed_candle_volume,45,0.09999999999999787,175.28
2021-01-22,0,0,0.0,2020-12-31,fear_greed_candle_volume,45,0.09999999999999787,173.9
2021-01-25,0,0,0.0,2020-12-31,fear_greed_candle_volume,45,0.09999999999999787,174.05
2021-01-26,0,0,0.0,2020-12-31,fear_greed_candle_volume,45,0.09999999999999787,173.62
2021-01-27,0,0,0.0,2020-12-31,fear_greed_candle_volume,45,0.09999999999999787,172.52
2021-01-28,0,0,0.0,2020-12-31,fear_greed_candle_volume,45,0.09999999999999787,172.68
2021-01-29,-1,-1,0.0,2020-12-31,fear_greed_candle_volume,45,0.09999999999999787,172.61
2021-02-01,0,0,0.0,2021-01-29,fear_greed_candle_volume,45,1.0,174.23
2021-02-02,0,0,0.0,2021-01-29,fear_greed_candle_volume,45,1.0,172.11
2021-02-03,0,0,0.0,2021-01-29,fear_greed_candle_volume,45,1.0,171.85
2021-02-04,0,0,0.0,2021-01-29,fear_greed_candle_volume,45,1.0,168.15
2021-02-05,0,0,0.0,2021-01-29,fear_greed_candle_volume,45,1.0,169.81
2021-02-08,0,0,0.0,2021-01-29,fear_greed_candle_volume,45,1.0,171.52
2021-02-09,0,0,0.0,2021-01-29,fear_greed_candle_volume,45,1.0,172.08
2021-02-10,0,0,0.0,2021-01-29,fear_greed_candle_volume,45,1.0,172.71
2021-02-11,0,0,0.0,2021-01-29,fear_greed_candle_volume,45,1.0,171.21
2021-02-12,0,0,0.0,2021-01-29,fear_greed_candle_volume,45,1.0,170.69
