Date,adaptive_band_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2022-01-03,-1.0,-1.0,0.0,2021-12-31,adaptive_band,45,0.974672926818831,168.33
2022-01-04,-1.0,-1.0,0.0,2021-12-31,adaptive_band,45,0.974672926818831,169.57
2022-01-05,-1.0,-1.0,0.0,2021-12-31,adaptive_band,45,0.974672926818831,169.06
2022-01-06,0.3424079089913379,0.3424079089913379,0.35130544777610667,2021-12-31,adaptive_band,45,0.974672926818831,166.99
2022-01-07,-0.5556484930413716,-0.5556484930413716,0.0,2021-12-31,adaptive_band,45,0.974672926818831,167.75
2022-01-10,-1.0,-1.0,0.0,2021-12-31,adaptive_band,45,0.974672926818831,168.26
2022-01-11,-1.0,-1.0,0.0,2021-12-31,adaptive_band,45,0.974672926818831,170.29
2022-01-12,-1.0,-1.0,0.0,2021-12-31,adaptive_band,45,0.974672926818831,170.74
2022-01-13,-1.0,-1.0,0.0,2021-12-31,adaptive_band,45,0.974672926818831,170.16
2022-01-14,-1.0,-1.0,0.0,2021-12-31,adaptive_band,45,0.974672926818831,169.67
2022-01-18,-1.0,-1.0,0.0,2021-12-31,adaptive_band,45,0.974672926818831,169.39
2022-01-19,-1.0,-1.0,0.0,2021-12-31,adaptive_band,45,0.974672926818831,172.08
2022-01-20,-1.0,-1.0,0.0,2021-12-31,adaptive_band,45,0.974672926818831,171.65
2022-01-21,-1.0,-1.0,0.0,2021-12-31,adaptive_band,45,0.974672926818831,171.09
2022-01-24,-1.0,-1.0,0.0,2021-12-31,adaptive_band,45,0.974672926818831,172.03
2022-01-25,-1.0,-1.0,0.0,2021-12-31,adaptive_band,45,0.974672926818831,172.58
2022-01-26,-1.0,-1.0,0.0,2021-12-31,adaptive_band,45,0.974672926818831,169.79
2022-01-27,0.8311528454588738,0.8311528454588738,0.8527505202915786,2021-12-31,adaptive_band,45,0.974672926818831,167.6
