Date,predicted_future_return,portfolio_weight,price,gross_exposure,net_equity
2021-01-04,0.0,0.0,182.33,0.0,1.0000000000000002
2021-01-05,0.0,0.0,182.87,0.0,1.0000000000000002
2021-01-06,0.0,0.0,179.9,0.0,1.0000000000000002
2021-01-07,0.0,0.0,179.48,0.0,1.0000000000000002
2021-01-08,0.0,0.0,173.34,0.0,1.0000000000000002
2021-01-11,0.0,0.0,173.0,0.0,1.0000000000000002
2021-01-12,0.0,0.0,174.12,0.0,1.0000000000000002
2021-01-13,0.0,0.0,173.37,0.0,1.0000000000000002
2021-01-14,0.0,0.0,173.28,0.0,1.0000000000000002
2021-01-15,0.0,0.0,171.13,0.0,1.0000000000000002
2021-01-19,0.0,0.0,172.58,0.0,1.0000000000000002
2021-01-20,0.0,0.0,175.39,0.0,1.0000000000000002
2021-01-21,0.0,0.0,175.28,0.0,1.0000000000000002
2021-01-22,0.0,0.0,173.9,0.0,1.0000000000000002
2021-01-25,0.0,0.0,174.05,0.0,1.0000000000000002
2021-01-26,0.0,0.0,173.62,0.0,1.0000000000000002
2021-01-27,0.0,0.0,172.52,0.0,1.0000000000000002
2021-01-28,0.0,0.0,172.68,0.0,1.0000000000000002
2021-01-29,-1.0,0.0,172.61,0.0,1.0000000000000002
2021-02-01,0.0,0.0,174.23,0.0,1.0000000000000002
2021-02-02,0.0,0.0,172.11,0.0,1.0000000000000002
2021-02-03,0.0,0.0,171.85,0.0,1.0000000000000002
2021-02-04,0.0,0.0,168.15,0.0,1.0000000000000002
2021-02-05,0.0,0.0,169.81,0.0,1.0000000000000002
2021-02-08,0.0,0.0,171.52,0.0,1.0000000000000002
2021-02-09,0.0,0.0,172.08,0.0,1.0000000000000002
2021-02-10,0.0,0.0,172.71,0.0,1.0000000000000002
2021-02-11,0.0,0.0,171.21,0.0,1.0000000000000002
2021-02-12,0.0,0.0,170.69,0.0,1.0000000000000002
2021-02-16,0.0,0.0,168.24,0.0,1.0000000000000002
2021-02-17,0.0,0.0,166.33,0.0,1.0000000000000002
2021-02-18,0.0,0.0,166.32,0.0,1.0000000000000002
2021-02-19,0.0,0.0,167.01,0.0,1.0000000000000002
2021-02-22,0.0,0.0,169.51,0.0,1.0000000000000002
2021-02-23,0.0,0.0,169.12,0.0,1.0000000000000002
2021-02-24,0.0,0.0,169.0,0.0,1.0000000000000002
2021-02-25,0.0,0.0,165.82,0.0,1.0000000000000002
2021-02-26,0.0,0.0,161.81,0.0,1.0000000000000002
2021-03-01,0.0,0.0,161.53,0.0,1.0000000000000002
2021-03-02,0.0,0.0,162.41,0.0,1.0000000000000002
2021-03-03,0.0,0.0,160.62,0.0,1.0000000000000002
2021-03-04,0.0,0.0,159.04,0.0,1.0000000000000002
2021-03-05,0.0,0.0,159.14,0.0,1.0000000000000002
2021-03-08,0.0,0.0,157.49,0.0,1.0000000000000002
2021-03-09,0.0,0.0,160.84,0.0,1.0000000000000002
2021-03-10,0.0,0.0,161.66,0.0,1.0000000000000002
2021-03-11,0.0,0.0,161.52,0.0,1.0000000000000002
2021-03-12,0.0,0.0,161.49,0.0,1.0000000000000002
2021-03-15,0.0,0.0,162.2,0.0,1.0000000000000002
2021-03-16,0.0,0.0,162.35,0.0,1.0000000000000002
2021-03-17,0.0,0.0,163.51,0.0,1.0000000000000002
2021-03-18,0.0,0.0,162.56,0.0,1.0000000000000002
2021-03-19,0.0,0.0,163.24,0.0,1.0000000000000002
2021-03-22,0.0,0.0,163.0,0.0,1.0000000000000002
2021-03-23,0.0,0.0,161.81,0.0,1.0000000000000002
2021-03-24,0.0,0.0,162.37,0.0,1.0000000000000002
2021-03-25,0.0,0.0,161.78,0.0,1.0000000000000002
2021-03-26,0.0,0.0,162.24,0.0,1.0000000000000002
2021-03-29,0.0,0.0,160.31,0.0,1.0000000000000002
2021-03-30,0.0,0.0,157.57,0.0,1.0000000000000002
2021-03-31,0.0,0.0,159.96,0.0,1.0000000000000002
2021-04-01,0.0,0.0,161.98,0.0,1.0000000000000002
2021-04-05,0.0,0.0,161.92,0.0,1.0000000000000002
2021-04-06,0.0,0.0,163.22,0.0,1.0000000000000002
2021-04-07,0.0,0.0,162.76,0.0,1.0000000000000002
2021-04-08,0.0,0.0,164.51,0.0,1.0000000000000002
2021-04-09,0.0,0.0,163.27,0.0,1.0000000000000002
2021-04-12,0.0,0.0,162.28,0.0,1.0000000000000002
2021-04-13,0.0,0.0,163.43,0.0,1.0000000000000002
2021-04-14,0.0,0.0,162.72,0.0,1.0000000000000002
2021-04-15,0.0,0.0,165.35,0.0,1.0000000000000002
2021-04-16,0.0,0.0,166.35,0.0,1.0000000000000002
2021-04-19,0.0,0.0,165.89,0.0,1.0000000000000002
2021-04-20,0.0,0.0,166.48,0.0,1.0000000000000002
2021-04-21,0.0,0.0,168.13,0.0,1.0000000000000002
2021-04-22,0.0,0.0,167.04,0.0,1.0000000000000002
2021-04-23,0.0,0.0,166.4,0.0,1.0000000000000002
2021-04-26,0.0,0.0,166.84,0.0,1.0000000000000002
2021-04-27,0.0,0.0,166.42,0.0,1.0000000000000002
2021-04-28,0.0,0.0,166.91,0.0,1.0000000000000002
2021-04-29,0.0,0.0,166.22,0.0,1.0000000000000002
2021-04-30,0.0,0.0,165.66,0.0,1.0000000000000002
2021-05-03,0.0,0.0,167.81,0.0,1.0000000000000002
2021-05-04,-1.0,0.0,166.58,0.0,1.0000000000000002
2021-05-05,0.0,0.0,167.27,0.0,1.0000000000000002
2021-05-06,0.0,0.0,170.06,0.0,1.0000000000000002
2021-05-07,0.0,0.0,171.59,0.0,1.0000000000000002
2021-05-10,0.0,0.0,172.11,0.0,1.0000000000000002
2021-05-11,0.0,0.0,172.14,0.0,1.0000000000000002
2021-05-12,0.0,0.0,170.43,0.0,1.0000000000000002
2021-05-13,0.0,0.0,171.13,0.0,1.0000000000000002
2021-05-14,0.0,0.0,172.69,0.0,1.0000000000000002
2021-05-17,0.0,0.0,174.7,0.0,1.0000000000000002
2021-05-18,0.0,0.0,175.04,0.0,1.0000000000000002
2021-05-19,0.0,0.0,175.16,0.0,1.0000000000000002
2021-05-20,0.0,0.0,175.96,0.0,1.0000000000000002
2021-05-21,0.0,0.0,176.04,0.0,1.0000000000000002
2021-05-24,0.0,0.0,176.35,0.0,1.0000000000000002
2021-05-25,0.0,0.0,177.95,0.0,1.0000000000000002
2021-05-26,0.0,0.0,177.64,0.0,1.0000000000000002
2021-05-27,0.0,0.0,177.71,0.0,1.0000000000000002
2021-05-28,0.0,0.0,178.38,0.0,1.0000000000000002
2021-06-01,0.0,0.0,177.9,0.0,1.0000000000000002
