month_start,month_end,active_anchor_date,chosen_strategy_key,strategy_params,source_total_return,prediction_scale
2021-01-01,2021-01-31,2020-12-31,ma_crossover,"{'short_ma': 45.0, 'long_ma': 50.0}",0.0338993220135597,0.5340232166093963
2021-02-01,2021-02-28,2021-01-29,ma_crossover,"{'short_ma': 45.0, 'long_ma': 50.0}",0.0338993220135597,0.5574929441413969
2021-03-01,2021-03-31,2021-02-26,ma_crossover,"{'short_ma': 65.0, 'long_ma': 70.0}",0.022258353891007,0.27645294556676936
2021-04-01,2021-04-30,2021-03-31,ma_crossover,"{'short_ma': 65.0, 'long_ma': 70.0}",0.0154049295774649,1.0
2021-05-01,2021-05-31,2021-04-30,ma_crossover,"{'short_ma': 15.0, 'long_ma': 25.0}",0.0255134737723883,1.0
2021-06-01,2021-06-30,2021-05-28,ma_crossover,"{'short_ma': 15.0, 'long_ma': 25.0}",0.0371898203972838,0.9798457158108913
2021-07-01,2021-07-31,2021-06-30,ma_crossover,"{'short_ma': 10.0, 'long_ma': 20.0}",0.0703559542167917,0.4908653846153894
2021-08-01,2021-08-31,2021-07-30,ma_crossover,"{'short_ma': 5.0, 'long_ma': 10.0}",0.079311918934618,0.7196265612515355
2021-09-01,2021-09-30,2021-08-31,ma_crossover,"{'short_ma': 10.0, 'long_ma': 20.0}",0.072093975312955,0.5936126256271639
2021-10-01,2021-10-31,2021-09-30,ma_crossover,"{'short_ma': 35.0, 'long_ma': 40.0}",0.0377439024390244,0.375222338830122
2021-11-01,2021-11-30,2021-10-29,ma_crossover,"{'short_ma': 35.0, 'long_ma': 40.0}",0.056463433533108,0.5812180727861251
2021-12-01,2021-12-31,2021-11-30,ma_crossover,"{'short_ma': 35.0, 'long_ma': 40.0}",0.056463433533108,0.43539738188717847
