month_start,month_end,active_anchor_date,chosen_strategy_key,strategy_params,source_total_return,prediction_scale
2021-01-01,2021-01-31,2020-12-31,fear_greed_candle_volume,"{'k_body': 1.2, 'k_volume': 1.2, 'price_zone_window': 3.0}",0.0,0.09999999999999787
2021-02-01,2021-02-28,2021-01-29,fear_greed_candle_volume,"{'k_body': 1.2, 'k_volume': 1.2, 'price_zone_window': 3.0}",0.0,1.0
2021-03-01,2021-03-31,2021-02-26,fear_greed_candle_volume,"{'k_body': 1.2, 'k_volume': 1.2, 'price_zone_window': 3.0}",0.0,1.0
2021-04-01,2021-04-30,2021-03-31,fear_greed_candle_volume,"{'k_body': 1.2, 'k_volume': 1.2, 'price_zone_window': 3.0}",0.0,1.0
2021-05-01,2021-05-31,2021-04-30,fear_greed_candle_volume,"{'k_body': 1.2, 'k_volume': 1.2, 'price_zone_window': 3.0}",0.0,0.05000000000000071
2021-06-01,2021-06-30,2021-05-28,fear_greed_candle_volume,"{'k_body': 1.2, 'k_volume': 1.2, 'price_zone_window': 3.0}",0.0,1.0
2021-07-01,2021-07-31,2021-06-30,fear_greed_candle_volume,"{'k_body': 1.2, 'k_volume': 1.2, 'price_zone_window': 3.0}",0.0,1.0
2021-08-01,2021-08-31,2021-07-30,fear_greed_candle_volume,"{'k_body': 1.2, 'k_volume': 1.2, 'price_zone_window': 3.0}",0.0,1.0
2021-09-01,2021-09-30,2021-08-31,fear_greed_candle_volume,"{'k_body': 1.2, 'k_volume': 1.2, 'price_zone_window': 3.0}",0.0,1.0
2021-10-01,2021-10-31,2021-09-30,fear_greed_candle_volume,"{'k_body': 1.2, 'k_volume': 1.2, 'price_zone_window': 3.0}",0.0,1.0
2021-11-01,2021-11-30,2021-10-29,fear_greed_candle_volume,"{'k_body': 1.2, 'k_volume': 1.2, 'price_zone_window': 3.0}",0.0,1.0
2021-12-01,2021-12-31,2021-11-30,fear_greed_candle_volume,"{'k_body': 1.2, 'k_volume': 1.2, 'price_zone_window': 3.0}",0.0,1.0
