date,slot,signal,weight,recycled_capital
2024-01-02,0,1.0,1.0,0.022222222222222223
2024-01-03,1,1.0,1.0,0.022222222222222223
2024-01-04,2,1.0,1.0,0.022222222222222223
2024-01-05,3,1.0,1.0,0.022222222222222223
2024-01-08,4,1.0,1.0,0.022222222222222223
2024-01-09,5,1.0,1.0,0.022222222222222223
2024-01-10,6,1.0,1.0,0.022222222222222223
2024-01-11,7,1.0,1.0,0.022222222222222223
2024-01-12,8,-1.0,0.0,0.022222222222222223
2024-01-16,9,1.0,1.0,0.022222222222222223
2024-01-17,10,1.0,1.0,0.022222222222222223
2024-01-18,11,1.0,1.0,0.022222222222222223
2024-01-19,12,1.0,1.0,0.022222222222222223
2024-01-22,13,1.0,1.0,0.022222222222222223
2024-01-23,14,1.0,1.0,0.022222222222222223
2024-01-24,15,1.0,1.0,0.022222222222222223
2024-01-25,16,1.0,1.0,0.022222222222222223
2024-01-26,17,1.0,1.0,0.022222222222222223
2024-01-29,18,-0.48430442387170575,0.0,0.022222222222222223
2024-01-30,19,-0.09091974704551499,0.0,0.022222222222222223
2024-01-31,20,1.0,1.0,0.022222222222222223
2024-02-01,21,-1.0,0.0,0.022222222222222223
2024-02-02,22,0.08608584376481153,0.08608584376481153,0.022222222222222223
2024-02-05,23,0.8549759713899132,0.8549759713899132,0.022222222222222223
2024-02-06,24,0.026511395096269975,0.026511395096269975,0.022222222222222223
2024-02-07,25,0.017823203865934015,0.017823203865934015,0.022222222222222223
2024-02-08,26,0.18299467098303157,0.18299467098303157,0.022222222222222223
2024-02-09,27,0.7947111927650701,0.7947111927650701,0.022222222222222223
2024-02-12,28,1.0,1.0,0.022222222222222223
2024-02-13,29,1.0,1.0,0.022222222222222223
2024-02-14,30,1.0,1.0,0.022222222222222223
2024-02-15,31,1.0,1.0,0.022222222222222223
2024-02-16,32,1.0,1.0,0.022222222222222223
2024-02-20,33,0.49385717695502124,0.49385717695502124,0.022222222222222223
2024-02-21,34,0.4750786934383333,0.4750786934383333,0.022222222222222223
2024-02-22,35,0.43528529891927076,0.43528529891927076,0.022222222222222223
2024-02-23,36,-0.1899528728458321,0.0,0.022222222222222223
2024-02-26,37,0.1113663603171484,0.1113663603171484,0.022222222222222223
2024-02-27,38,0.25813433792839224,0.25813433792839224,0.022222222222222223
2024-02-28,39,0.08689178004254504,0.08689178004254504,0.022222222222222223
2024-02-29,40,-0.4552777305598224,0.0,0.022222222222222223
2024-03-01,41,-1.0,0.0,0.022222222222222223
2024-03-04,42,-1.0,0.0,0.022222222222222223
2024-03-05,43,0.17451967466528487,0.17451967466528487,0.022222222222222223
2024-03-06,44,0.6257373861465342,0.6257373861465342,0.022222222222222223
2024-03-07,0,0.4154421991871036,0.4154421991871036,0.02329651379567487
2024-03-08,1,-0.8496825451466967,0.0,0.023690935687974764
2024-03-11,2,0.6577052282613008,0.6577052282613008,0.023710589947648898
2024-03-12,3,1.0,1.0,0.02344746647888977
2024-03-13,4,1.0,1.0,0.02379777978862452
2024-03-14,5,1.0,1.0,0.02369085415964573
2024-03-15,6,1.0,1.0,0.023669333333333334
2024-03-18,7,1.0,1.0,0.023660569069628528
2024-03-19,8,1.0,1.0,0.022222222222222223
2024-03-20,9,-1.0,0.0,0.02390979133036501
2024-03-21,10,0.8930820781159017,0.8930820781159017,0.024151002056727412
2024-03-22,11,1.0,1.0,0.0237616599360742
2024-03-25,12,1.0,1.0,0.023766532455938086
2024-03-26,13,1.0,1.0,0.023933815238163066
2024-03-27,14,-1.0,0.0,0.024013478762082114
2024-03-28,15,-1.0,0.0,0.024525512637100618
2024-04-01,16,-1.0,0.0,0.024677900086684957
2024-04-02,17,-1.0,0.0,0.025059860138198196
2024-04-03,18,-1.0,0.0,0.022222222222222223
2024-04-04,19,-1.0,0.0,0.022222222222222223
2024-04-05,20,-1.0,0.0,0.02536953509625306
2024-04-08,21,-1.0,0.0,0.022222222222222223
2024-04-09,22,-1.0,0.0,0.022516969716440797
2024-04-10,23,-1.0,0.0,0.025062468676911517
2024-04-11,24,-1.0,0.0,0.02231986577055994
2024-04-12,25,-1.0,0.0,0.02228187453672312
2024-04-15,26,-1.0,0.0,0.02292657523938081
2024-04-16,27,-1.0,0.0,0.02538713460089572
2024-04-17,28,-1.0,0.0,0.026079727314295215
2024-04-18,29,-1.0,0.0,0.026534679696767163
2024-04-19,30,-1.0,0.0,0.0266360602007495
2024-04-22,31,-0.8187390382322252,0.0,0.02580224304882282
2024-04-23,32,-0.690196664181619,0.0,0.025644878537440522
2024-04-24,33,-0.5833643470633417,0.0,0.023812769983685443
2024-04-25,34,-0.6733347870665516,0.0,0.023823724965197614
2024-04-26,35,-0.6886599422261106,0.0,0.023720929692020807
2024-04-29,36,-0.5735764027901675,0.0,0.022222222222222223
2024-04-30,37,-0.0294278930649806,0.0,0.022533479956158568
2024-05-01,38,-1.0,0.0,0.023009135292573667
2024-05-02,39,-1.0,0.0,0.022476378090127157
2024-05-03,40,-1.0,0.0,0.022222222222222223
2024-05-06,41,-1.0,0.0,0.022222222222222223
2024-05-07,42,-1.0,0.0,0.022222222222222223
2024-05-08,43,-1.0,0.0,0.0225445709403524
2024-05-09,44,-1.0,0.0,0.023490979794745192
2024-05-10,0,-1.0,0.0,0.024205099981210614
2024-05-13,1,-1.0,0.0,0.023690935687974764
2024-05-14,2,-1.0,0.0,0.02495275220352658
2024-05-15,3,-1.0,0.0,0.025923774315641232
2024-05-16,4,-1.0,0.0,0.026026271121283633
2024-05-17,5,-1.0,0.0,0.026447199607418842
2024-05-20,6,-1.0,0.0,0.02661451851851852
2024-05-21,7,-1.0,0.0,0.026523068552131202
2024-05-22,8,-1.0,0.0,0.024481147814481147
2024-05-23,9,-1.0,0.0,0.02390979133036501
2024-05-24,10,-1.0,0.0,0.025640753693705078
2024-05-28,11,-1.0,0.0,0.025877497287007882
2024-05-29,12,-1.0,0.0,0.025560344572742807
2024-05-30,13,-1.0,0.0,0.025705943097247448
2024-05-31,14,-1.0,0.0,0.024013478762082114
2024-06-03,15,-1.0,0.0,0.024525512637100618
2024-06-04,16,-1.0,0.0,0.024677900086684957
2024-06-05,17,-1.0,0.0,0.025059860138198196
2024-06-06,18,-1.0,0.0,0.022222222222222223
2024-06-07,19,-1.0,0.0,0.022222222222222223
2024-06-10,20,-1.0,0.0,0.02536953509625306
2024-06-11,21,-1.0,0.0,0.022222222222222223
2024-06-12,22,-1.0,0.0,0.022516969716440797
2024-06-13,23,-1.0,0.0,0.025062468676911517
2024-06-14,24,-1.0,0.0,0.02231986577055994
2024-06-17,25,-1.0,0.0,0.02228187453672312
2024-06-18,26,-1.0,0.0,0.02292657523938081
2024-06-20,27,-1.0,0.0,0.02538713460089572
2024-06-21,28,-1.0,0.0,0.026079727314295215
2024-06-24,29,-1.0,0.0,0.026534679696767163
2024-06-25,30,-1.0,0.0,0.0266360602007495
2024-06-26,31,-1.0,0.0,0.02580224304882282
2024-06-27,32,-1.0,0.0,0.025644878537440522
2024-06-28,33,-1.0,0.0,0.023812769983685443
2024-07-01,34,-1.0,0.0,0.023823724965197614
2024-07-02,35,-1.0,0.0,0.023720929692020807
2024-07-03,36,-1.0,0.0,0.022222222222222223
2024-07-05,37,-0.39571823447529064,0.0,0.022533479956158568
2024-07-08,38,-1.0,0.0,0.023009135292573667
2024-07-09,39,-1.0,0.0,0.022476378090127157
2024-07-10,40,-0.9316236879496952,0.0,0.022222222222222223
2024-07-11,41,0.18971985455832577,0.20866753127755203,0.022222222222222223
2024-07-12,42,0.06558279462138182,0.0721326709836754,0.022222222222222223
2024-07-15,43,0.17491010758623174,0.192378707175792,0.0225445709403524
2024-07-16,44,1.0,1.0,0.023490979794745192
