year,hold_days,update_label,block_days,negative_bh_blocks,positive_bh_blocks,avg_exposure_when_bh_negative,avg_exposure_when_bh_positive,exposure_gap_positive_minus_negative,avg_strategy_return_when_bh_negative,avg_strategy_return_when_bh_positive,strategy_return_gap_positive_minus_negative,corr_block_bh_vs_exposure,buy_hold_return,strategy_return,average_exposure,hundred_pct_equivalent_return,beats_buy_hold,beats_buy_hold_efficiency_proxy
2020,45,1M,45,2,4,0.7064220128532901,0.4738602155481818,-0.2325617973051083,-0.012012201724218241,0.027480753306298178,0.03949295503051642,-0.5549530080888744,0.20221083850094357,0.07336460937807532,0.4866224373887737,0.150762898997735,False,False
2020,45,1M,130,1,1,0.7083492571425246,0.31265216342813834,-0.39569709371438627,-0.027905555693858886,0.11155840190335464,0.13946395759721353,-0.9999999999999998,0.20221083850094357,0.07336460937807532,0.4866224373887737,0.150762898997735,False,False
2020,45,2M,45,2,4,0.6614962348306872,0.4643694693048989,-0.19712676552578828,-0.010871388635688872,0.027968796388443296,0.03884018502413217,-0.5582013601426542,0.20221083850094357,0.07847327240721169,0.4715906684502448,0.16640124085807906,False,False
2020,45,2M,130,1,1,0.6608643883838251,0.32308359588697394,-0.33778079249685117,-0.023152335930228807,0.11003756070185666,0.13318989663208547,-0.9999999999999999,0.20221083850094357,0.07847327240721169,0.4715906684502448,0.16640124085807906,False,False
2020,45,3M,45,2,4,0.6615087406327564,0.46086616665885194,-0.2006425739739045,-0.011091843977711568,0.02712594934308654,0.03821779332079811,-0.5349443153301287,0.20221083850094357,0.07456597279532606,0.46281752468376636,0.16111311438838763,False,False
2020,45,3M,130,1,1,0.6644395983224843,0.3046217438287722,-0.3598178544937121,-0.02379381686693205,0.1070328111081309,0.13082662797506295,-1.0,0.20221083850094357,0.07456597279532606,0.46281752468376636,0.16111311438838763,False,False
2020,45,6M,45,2,4,0.5889890327892732,0.3563212320189654,-0.2326678007703078,-0.00995742846205977,0.020040842636851075,0.029998271098910845,-0.6839942857213156,0.20221083850094357,0.05091217303872786,0.3789789192989272,0.1343403826600969,False,False
2020,45,6M,130,1,1,0.5768872770976812,0.22369697702605873,-0.35319030007162244,-0.012569989366332912,0.06611245049059167,0.07868243985692458,-1.0,0.20221083850094357,0.05091217303872786,0.3789789192989272,0.1343403826600969,False,False
2020,130,1M,45,2,4,0.6244363092071361,0.4208619942854373,-0.2035743149216988,-0.010933071232108571,0.025417737628066428,0.036350808860175,-0.3933351220533019,0.20221083850094357,0.06761364254551827,0.4527893875697313,0.14932691534230252,False,False
2020,130,1M,130,1,1,0.6289429886477614,0.3145765621085078,-0.3143664265392536,-0.03758706543061152,0.12013779080107523,0.15772485623168675,-0.9999999999999998,0.20221083850094357,0.06761364254551827,0.4527893875697313,0.14932691534230252,False,False
2020,130,2M,45,2,4,0.6846733411919674,0.4935602160689876,-0.19111312512297984,-0.01250781308213611,0.033241565070574686,0.045749378152710796,-0.2539476451906927,0.20221083850094357,0.09404391904395082,0.5330805717816777,0.17641595665292106,False,False
2020,130,2M,130,1,1,0.6892100466531138,0.41057898380562785,-0.27863106284748596,-0.04698795149566448,0.16193345057459796,0.20892140207026244,-0.9999999999999999,0.20221083850094357,0.09404391904395082,0.5330805717816777,0.17641595665292106,False,False
2020,130,3M,45,2,4,0.6924538342915905,0.504837947708989,-0.18761588658260142,-0.012739382312633385,0.035122482025217616,0.047861864337851,-0.1819089777608537,0.20221083850094357,0.10086028504771671,0.5548972809029656,0.18176388408966462,False,False
2020,130,3M,130,1,1,0.6939127659398301,0.44582359264327187,-0.24808917329655822,-0.050104283936926564,0.17377646242512523,0.2238807463620518,-0.9999999999999999,0.20221083850094357,0.10086028504771671,0.5548972809029656,0.18176388408966462,False,False
