target_horizon_days,model_name,feature_count,selection_rows,evaluation_rows,selection_mse,selection_mae,selection_correlation,selection_directional_accuracy,evaluation_mse,evaluation_mae,evaluation_correlation,evaluation_directional_accuracy,nonzero_count,alpha,l1_ratio
76,lasso,40,107,105,0.000706043706101388,0.02289341158536307,0.7932087543031938,1.0,0.010595082087259608,0.08765763895924697,0.8460460361077329,0.9619047619047619,3,0.003562247890262444,
77,lasso,40,106,104,0.0006712543849188106,0.022804724892751815,0.8046122443827073,0.9905660377358491,0.010760253593553855,0.08808315960356715,0.8335937082797021,0.9423076923076923,5,0.003562247890262444,
74,lasso,40,109,107,0.0006150177667487924,0.01973007764385972,0.8250021456401682,0.9908256880733946,0.010345039579963796,0.08670423735087442,0.8314778761516922,0.9626168224299065,6,0.002395026619987486,
75,lasso,40,108,106,0.0005319624896454021,0.018417753131259474,0.8465956625572625,0.9814814814814815,0.010585966336700295,0.08849400169139368,0.8141002432231013,0.9056603773584906,16,0.0001,
73,elastic_net,40,110,108,0.0005547962955461674,0.018632504300390863,0.8425357154718456,1.0,0.010364952069147663,0.08653470871284694,0.8110403961738449,0.9074074074074074,14,0.01743328822199989,0.1
78,lasso,40,105,103,0.0006285058975378275,0.021750665192509337,0.8186535275116252,0.9809523809523809,0.010915697689867162,0.08813849193359431,0.8094542355697406,0.9514563106796117,4,0.003562247890262444,
79,lasso,40,104,102,0.0005699954380804136,0.020319919077459055,0.8389274468178265,0.9903846153846154,0.011077748401845998,0.0887145068454167,0.7884815581040575,0.9509803921568627,5,0.003562247890262444,
104,lasso,40,79,77,0.000842578020351633,0.023289057870209375,0.5984173573287638,1.0,0.014372594462827225,0.10617084947800269,0.7742196152223019,1.0,1,0.011721022975334805,
51,elastic_net,40,132,130,0.0005809512129216992,0.018908290098684166,0.8381630734193076,0.8712121212121212,0.006909022257710025,0.06626747428650548,0.76607000080321,0.6307692307692307,13,0.0004893900918477494,0.5
52,elastic_net,40,131,129,0.0005526209349718402,0.018391590391508898,0.8481576154035831,0.8702290076335878,0.007110791854830591,0.06720796768789845,0.7644368767217253,0.6744186046511628,17,0.000221221629107045,0.9
50,elastic_net,40,133,131,0.000580456409053734,0.019241387954270318,0.8354487778822967,0.8646616541353384,0.006728667643170533,0.06506527357631105,0.7632531247092702,0.6564885496183206,15,0.00014873521072935117,0.9
103,lasso,40,80,78,0.0008231203410486257,0.022803480527305547,0.6413461124471566,1.0,0.01412522716704526,0.10517809585887082,0.7630934258373689,1.0,1,0.011721022975334805,
71,lasso,40,112,110,0.0005156861657884646,0.018769683455303426,0.8561458814041343,0.9732142857142857,0.010478146682254314,0.08673239964699761,0.7604428519151661,0.9181818181818182,10,0.0007278953843983154,
101,ridge,40,82,80,0.000478951228988935,0.016792627843691354,0.795746735321681,1.0,0.012552728700674032,0.10129812204359043,0.7560776845826801,1.0,38,10.0,
53,lasso,40,130,128,0.0005475200724562733,0.018464066744619964,0.8509595270672793,0.8923076923076924,0.007412100498038482,0.0691709402673807,0.7553451525545564,0.6953125,11,0.00032903445623126676,
100,ridge,40,83,81,0.0005256734807085013,0.01762387035393829,0.7886923055223944,1.0,0.012544779935088854,0.10159388651240688,0.7550438289340692,1.0,38,10.0,
49,elastic_net,40,134,132,0.0005997379339370089,0.019914352209526184,0.83028247685,0.8656716417910447,0.006674947955821908,0.06504067957513664,0.7524595906675361,0.6287878787878788,15,0.00032903445623126676,0.5
102,lasso,40,81,79,0.0008028591279228916,0.022791901291853288,0.6773885413705357,1.0,0.013802915923081254,0.10386894275348892,0.7504178892356443,1.0,1,0.011721022975334805,
92,ridge,40,91,89,0.0005763521763144608,0.018526523596426016,0.7977893891867391,1.0,0.012293285214983995,0.09650815316932118,0.7479416560006609,1.0,38,10.0,
93,ridge,40,90,88,0.0005402705117322351,0.01736822279808118,0.8055314024173482,1.0,0.012402502850355187,0.09746279985211972,0.7413621186641444,1.0,38,10.0,
48,elastic_net,40,135,133,0.0006331561253228294,0.02026641927046269,0.8240656304829017,0.8666666666666667,0.006647357034165037,0.06532810115828457,0.7411263098231531,0.6165413533834586,15,0.000221221629107045,0.7
47,lasso,40,136,134,0.0006753991981279183,0.02086317718298376,0.8129345782799292,0.8455882352941176,0.00650109100864167,0.064517595009653,0.7399387520309024,0.6194029850746269,10,0.00032903445623126676,
45,ridge,40,138,136,0.0006595265280710748,0.02028839779410515,0.8184903808340729,0.8478260869565217,0.006149772697535271,0.06305388973115156,0.7394103669870374,0.6029411764705882,38,0.12689610031679235,
46,ridge,40,137,135,0.000667429760244401,0.020447574447474137,0.8149973625725848,0.8467153284671532,0.006397592414844836,0.06424080351297831,0.7368752754584875,0.6296296296296297,38,0.28072162039411785,
94,ridge,40,89,87,0.0005143147734289275,0.017367010141418403,0.8119809136210938,1.0,0.012489700269846419,0.09823309149972083,0.7292672411169201,1.0,38,10.0,
89,lasso,40,94,92,0.0009252096449056517,0.02425025772167719,0.7567272068872053,1.0,0.013006222024424472,0.09794975594012427,0.7288205400417349,0.9891304347826086,2,0.011721022975334805,
99,ridge,40,84,82,0.0005390185572692542,0.017262480611217452,0.7889267418098079,1.0,0.012671807248903304,0.10154938399939017,0.7285089217845375,1.0,38,10.0,
91,elastic_net,40,92,90,0.0007914194992837972,0.021648845243095318,0.7654488861639893,1.0,0.012934622775156905,0.09815150133513123,0.7281087168203275,1.0,3,0.08531678524172814,0.1
