hold_days,year,month_start,active_anchor_date,active_model_name,selection_criterion,dominant_family,adaptive_band_abs_sum,ma_crossover_abs_sum,adaptive_volatility_band_abs_sum,fear_greed_candle_volume_abs_sum,adaptive_band_top_count,ma_crossover_top_count,adaptive_volatility_band_top_count,fear_greed_candle_volume_top_count,nonzero_count
130,2021,2021-01-01,2020-12-31,ols,selection_correlation,ma_crossover,0.231506,0.629799,0.0,0.0,3,7,0,0,30
130,2021,2021-02-01,2021-01-29,ols,selection_correlation,ma_crossover,0.140142,0.306959,0.24909,0.0,2,3,5,0,30
130,2021,2021-03-01,2021-02-26,ols,selection_correlation,ma_crossover,0.259706,2.798749,0.488352,0.0,2,6,2,0,30
130,2021,2021-04-01,2021-03-31,ols,selection_correlation,ma_crossover,0.29824,4.153628,2.648912,0.0,1,4,5,0,30
130,2021,2021-05-01,2021-04-30,ols,selection_correlation,adaptive_band,0.531555,0.502319,0.047792,0.0,4,5,1,0,30
130,2021,2021-06-01,2021-05-28,ols,selection_correlation,ma_crossover,0.351733,16.084221,3.465729,0.0,1,5,4,0,30
130,2021,2021-07-01,2021-06-30,ols,selection_correlation,adaptive_band,0.711672,0.543675,0.355595,0.0,3,4,3,0,30
130,2021,2021-08-01,2021-07-30,ols,selection_correlation,ma_crossover,2.171403,5.610957,0.531385,0.0,4,4,2,0,30
130,2021,2021-09-01,2021-08-31,ols,selection_correlation,adaptive_volatility_band,0.0,0.455137,2.720679,0.0,0,2,8,0,21
130,2021,2021-10-01,2021-09-30,ols,selection_correlation,ma_crossover,0.139059,0.81194,0.0,0.0,2,8,0,0,26
130,2021,2021-11-01,2021-10-29,ols,selection_correlation,adaptive_band,1.697116,0.346228,0.0,0.0,6,4,0,0,30
130,2021,2021-12-01,2021-11-30,ols,selection_correlation,adaptive_band,0.417004,0.36396,0.0,0.0,6,4,0,0,28
130,2022,2022-01-01,2021-12-31,ols,selection_correlation,adaptive_band,2.760643,0.786276,2.141651,0.0,4,2,4,0,28
130,2022,2022-02-01,2022-01-31,ols,selection_correlation,ma_crossover,1.46401,4.755317,0.292055,0.0,3,6,1,0,30
130,2022,2022-03-01,2022-02-28,ols,selection_correlation,ma_crossover,1.931172,4.040288,0.0,0.0,4,6,0,0,34
130,2022,2022-04-01,2022-03-31,ols,selection_correlation,ma_crossover,3.115055,3.938339,0.747527,0.0,3,6,1,0,34
130,2022,2022-05-01,2022-04-29,ols,selection_correlation,ma_crossover,2.175969,10.154977,0.0,0.0,3,7,0,0,34
130,2022,2022-06-01,2022-05-31,ols,selection_correlation,adaptive_band,15.016285,12.5329,0.0,0.0,6,4,0,0,32
130,2022,2022-07-01,2022-06-30,ols,selection_correlation,adaptive_band,6.975098,0.0,0.663366,0.0,8,0,2,0,40
130,2022,2022-08-01,2022-07-29,ols,selection_correlation,adaptive_band,11.611262,2.253039,0.0,0.0,8,2,0,0,40
130,2022,2022-09-01,2022-08-31,ols,selection_correlation,adaptive_volatility_band,2.225582,0.0,5.370817,0.0,4,0,6,0,40
130,2022,2022-10-01,2022-09-30,ols,selection_correlation,ma_crossover,0.899796,8.926861,0.0,0.0,4,6,0,0,31
130,2022,2022-11-01,2022-10-31,ols,selection_correlation,adaptive_volatility_band,0.0,0.657096,7.180043,0.0,0,3,7,0,30
130,2022,2022-12-01,2022-11-30,ols,selection_correlation,adaptive_volatility_band,0.808381,0.213619,0.826686,0.0,4,2,4,0,30
130,2023,2023-01-01,2022-12-30,ols,selection_correlation,adaptive_volatility_band,0.0,0.254973,1.372976,0.0,0,3,7,0,30
130,2023,2023-02-01,2023-01-31,ols,selection_correlation,adaptive_volatility_band,0.0,0.047507,0.054572,0.0,0,5,5,0,30
130,2023,2023-03-01,2023-02-28,ols,selection_correlation,adaptive_volatility_band,0.0,10.345201,19.664234,0.0,0,2,8,0,21
