hold_days,year,family,dominant_months
45,2021,adaptive_band,4
45,2021,ma_crossover,6
45,2021,adaptive_volatility_band,2
45,2021,fear_greed_candle_volume,0
45,2022,adaptive_band,4
45,2022,ma_crossover,4
45,2022,adaptive_volatility_band,4
45,2022,fear_greed_candle_volume,0
45,2023,adaptive_band,1
45,2023,ma_crossover,2
45,2023,adaptive_volatility_band,9
45,2023,fear_greed_candle_volume,0
45,2024,adaptive_band,5
45,2024,ma_crossover,5
45,2024,adaptive_volatility_band,2
45,2024,fear_greed_candle_volume,0
45,ALL,adaptive_band,14
45,ALL,ma_crossover,17
45,ALL,adaptive_volatility_band,17
45,ALL,fear_greed_candle_volume,0
130,2021,adaptive_band,4
130,2021,ma_crossover,7
130,2021,adaptive_volatility_band,1
130,2021,fear_greed_candle_volume,0
130,2022,adaptive_band,4
130,2022,ma_crossover,5
130,2022,adaptive_volatility_band,3
130,2022,fear_greed_candle_volume,0
130,2023,adaptive_band,0
130,2023,ma_crossover,8
130,2023,adaptive_volatility_band,4
130,2023,fear_greed_candle_volume,0
130,2024,adaptive_band,3
130,2024,ma_crossover,8
130,2024,adaptive_volatility_band,1
130,2024,fear_greed_candle_volume,0
130,ALL,adaptive_band,11
130,ALL,ma_crossover,28
130,ALL,adaptive_volatility_band,9
130,ALL,fear_greed_candle_volume,0
