Date,adaptive_band_rank01_score,adaptive_band_rank02_score,adaptive_band_rank03_score,adaptive_band_rank04_score,adaptive_band_rank05_score,adaptive_band_rank06_score,adaptive_band_rank07_score,adaptive_band_rank08_score,adaptive_band_rank09_score,adaptive_band_rank10_score,ma_crossover_rank01_score,ma_crossover_rank02_score,ma_crossover_rank03_score,ma_crossover_rank04_score,ma_crossover_rank05_score,ma_crossover_rank06_score,ma_crossover_rank07_score,ma_crossover_rank08_score,ma_crossover_rank09_score,ma_crossover_rank10_score,adaptive_volatility_band_rank01_score,adaptive_volatility_band_rank02_score,adaptive_volatility_band_rank03_score,adaptive_volatility_band_rank04_score,adaptive_volatility_band_rank05_score,adaptive_volatility_band_rank06_score,adaptive_volatility_band_rank07_score,adaptive_volatility_band_rank08_score,adaptive_volatility_band_rank09_score,adaptive_volatility_band_rank10_score,fear_greed_candle_volume_rank01_score,fear_greed_candle_volume_rank02_score,fear_greed_candle_volume_rank03_score,fear_greed_candle_volume_rank04_score,fear_greed_candle_volume_rank05_score,fear_greed_candle_volume_rank06_score,fear_greed_candle_volume_rank07_score,fear_greed_candle_volume_rank08_score,fear_greed_candle_volume_rank09_score,fear_greed_candle_volume_rank10_score,predicted_future_return,portfolio_weight,active_anchor_date,active_model_name,active_target_horizon_days,prediction_scale,price
2020-02-03,-1.0,-1.0,0.06419928070520209,0.09015536072239971,0.11740924474046006,0.14606076383636982,-0.06226027595625632,-0.03621195028837739,-0.008675148868044786,0.020481464400542642,0.36856933940796927,0.8995671113161675,0.08462698719915535,0.6191189555861235,0.21380859721078743,-0.07389490554237794,0.07304466432955774,0.9264404796724147,0.906059884388062,0.7784056166613864,0.0748481507367746,0.09306591600349956,0.11191188007252556,0.13141910603871002,0.15162301864654426,0.05916761091875386,0.0774291214518358,0.09633138674046464,0.11590873293225844,0.136197982621936,0,0,0,0,0,0,0,0,0,0,0.0846408755927939,0.7257151185175229,2020-01-31,ols,130,0.11663099394387247,148.36
2020-02-04,-1.0,-1.0,-0.7782577201556427,-0.7728493718667573,-0.7671706061634227,-0.7612006217060783,-1.0,-1.0,-1.0,-1.0,0.32459464020004786,0.905673691495579,0.11606690891762689,0.444858176796605,0.25472524721493583,-0.08601214371544698,0.08574436845894305,0.8958380726441733,0.9316503929506923,0.6533126072830998,0.26317663066446706,0.2845864040655596,0.306734445514966,0.32965961122575466,0.35340353285478593,0.25068809898081384,0.272251686894276,0.2945718919275091,0.3176892471405002,0.34164723345214576,0,0,0,0,0,0,0,0,0,0,0.11641505291512405,0.9981485107736257,2020-01-31,ols,130,0.11663099394387247,146.43
2020-02-05,-1.0,-1.0,-0.7206688063925726,-0.7138558504509296,-0.7067022467122007,-0.6991817914996934,-0.9531916180672462,-0.9518913852357787,-0.9505168533853702,-0.9490614667202342,0.2759156708442658,0.9249885784333168,0.12530790485062332,0.25810322896183036,0.3024125705312374,-0.08940746238088368,0.08817149899242382,0.8689187871697365,0.9376691420034827,0.5187897361849083,-0.565909532805887,-0.558552067260224,-0.55094089600609,-0.5430626661114599,-0.5349030708634503,-0.5924503723449698,-0.5854236546267796,-0.5781503854097055,-0.570617356577736,-0.562810399424604,0,0,0,0,0,0,0,0,0,0,0.12005564514471553,1.0,2020-01-31,ols,130,0.11663099394387247,146.61
2020-02-06,-1.0,-1.0,-0.3481540869868144,-0.33225540618161864,-0.31556179133615575,-0.2980120936781094,-0.5303370717147633,-0.5172908792623959,-0.5034991900984647,-0.4888962251013577,0.25791672419170747,0.9339901299570504,0.12581102574026073,0.13233955370332762,0.3562447066014493,-0.05797740244105772,0.08066790530088665,0.8410245577545977,0.9391413540020299,0.4209549208407234,-0.47998563856318505,-0.47117183582696803,-0.46205410885846715,-0.4526164616454578,-0.4428417556034125,-0.5050701409117138,-0.49653686747915704,-0.4877041809437036,-0.47855604131769836,-0.46907524206892925,0,0,0,0,0,0,0,0,0,0,0.10563249670032991,0.9056983322217464,2020-01-31,ols,130,0.11663099394387247,147.4
2020-02-07,-1.0,-1.0,-0.15887774122894915,-0.1383625641857529,-0.11682162829039686,-0.09417602901579177,-0.3154828413950231,-0.29646847587821823,-0.27636757518902455,-0.2550842685769371,0.18571640409679663,0.9021454451696956,0.14634657225790995,0.07841735045531022,0.40271282103803396,0.017373752161976813,0.060293682794558004,0.7949313747792905,0.9245058347225492,0.36378638416374254,-0.15856631795440268,-0.14430473012312103,-0.129551363401106,-0.1142803346888448,-0.09846391209400282,-0.178203035207867,-0.16403412202179568,-0.14936805398709022,-0.13417819780828835,-0.11843598322298458,0,0,0,0,0,0,0,0,0,0,0.09326429769620857,0.799652772753451,2020-01-31,ols,130,0.11663099394387247,147.79
2020-02-10,-1.0,-1.0,-0.01331467940869625,0.010750816215482465,0.0360195866208665,0.06258419140602128,-0.15024909554501,-0.12664490375459275,-0.10169190100472335,-0.07527107456368513,0.07035951873269164,0.8371442917045531,0.14544300821110412,0.05425099717031939,0.42849502481496704,0.09242898449600678,0.03236458919104062,0.7148234809831775,0.9046309727424362,0.3063231643079667,-0.5167089028935219,-0.5085175283662935,-0.5000436926484709,-0.4912725293616021,-0.48218811024305913,-0.5424158334510393,-0.5345264512691607,-0.5263602486598477,-0.517902395957345,-0.5091369849747512,0,0,0,0,0,0,0,0,0,0,0.08325355388447926,0.7138201525106116,2020-01-31,ols,130,0.11663099394387247,148.17
2020-02-11,-1.0,-1.0,-0.28105937479371995,-0.26352423759356786,-0.24511234353340874,-0.22575624977785683,-0.4541755065226005,-0.43901371503711817,-0.4229855354667521,-0.40601452180401154,0.032725357550102925,0.7811899236903735,0.15091573135810363,0.12099616338591823,0.4580730322375025,0.10540283976351292,0.0256814339897428,0.6078233834888002,0.8770486479464817,0.2684563758389312,0.2973736616851077,0.3193630457814654,0.3421106845018357,0.36565648598432376,0.3900432089483298,0.28546474069671957,0.30762792588114585,0.33056876668607843,0.35432892323404386,0.37895308547466305,0,0,0,0,0,0,0,0,0,0,0.10241302780562282,0.8780944442170158,2020-01-31,ols,130,0.11663099394387247,147.66
2020-02-12,-1.0,-1.0,-0.3526222917485881,-0.3368325915473342,-0.32025340633601757,-0.3028240064984796,-0.5354090879308294,-0.5225037848177969,-0.5088610358125911,-0.4944157721600203,-0.054405906927029984,0.7189932737150136,0.14291713598947398,0.21116789656143356,0.4759954027697055,0.10825303845978645,0.04726922176277466,0.4910738465871614,0.8518045422070311,0.23699894650763945,-0.3044971682996643,-0.29270898471152296,-0.28051431203413535,-0.2678917561049096,-0.25481839460678335,-0.3266072897962688,-0.31499707065482513,-0.30297947540315534,-0.2905326803210688,-0.2776332745087247,0,0,0,0,0,0,0,0,0,0,0.12278026450622082,1.0,2020-01-31,ols,130,0.11663099394387247,147.54
2020-02-13,-1.0,-1.0,0.017731591700020026,0.042554313448801145,0.06861817128502133,0.09601863721540665,-0.11500738239457271,-0.09042425412775512,-0.06443637567426223,-0.036919798488210934,-0.11147074915502393,0.6637174146096516,0.12804940031066947,0.23681382249647961,0.4901626099523369,0.10152470055391487,0.0815738061337919,0.40573916999772724,0.8253913269393358,0.19692203419797502,-0.28157249884635044,-0.26939576153866135,-0.2567991367376039,-0.2437605251014214,-0.23025624876394693,-0.30329406662340697,-0.2912818953582932,-0.2788482443996669,-0.26597053447823227,-0.25262454419601843,0,0,0,0,0,0,0,0,0,0,0.12324220781678613,1.0,2020-01-31,ols,130,0.11663099394387247,148.38
2020-02-14,-1.0,-1.0,0.28445627720881217,0.3157844790919554,0.3486790910692517,0.38326060622487085,0.18776117953432722,0.22075454563250474,0.2556332469362877,0.2925636365520578,-0.17344439501552109,0.6138243928476271,0.12354184785008328,0.24971898394457814,0.5093610857786635,0.08248443877175846,0.09021404898359212,0.3573711178274041,0.7830868821580873,0.181966862876548,-0.3827478618004659,-0.37228596115301604,-0.3614633053108269,-0.35026090715838504,-0.338658423357642,-0.40618426623776216,-0.39594606393151655,-0.38534862645663065,-0.3743727090719279,-0.3629976674186903,0,0,0,0,0,0,0,0,0,0,0.12755180383954787,1.0,2020-01-31,ols,130,0.11663099394387247,149.0
