target_horizon_days,selection_rows,evaluation_rows,selection_correlation,selection_directional_accuracy,selection_long_short_strategy_return,evaluation_correlation,evaluation_directional_accuracy,evaluation_long_short_strategy_return
65,166,164,0.4238875594576838,0.963855421686747,336573.9560962389,0.254151895187008,0.9573170731707317,318136672.2655481
64,167,165,0.4316611188922656,0.9580838323353293,294893.2756942939,0.2310255166464371,0.9636363636363636,278113401.58606607
63,168,166,0.4394882497983682,0.9523809523809523,255895.81600392822,0.20883278342421105,0.9698795180722891,246437704.38396266
62,169,167,0.4491872493867052,0.9467455621301775,222697.77185329233,0.18744683865842737,0.9700598802395209,213159341.22562763
61,170,168,0.4572620517676169,0.9470588235294117,192199.04396332672,0.16357362480278326,0.9642857142857143,177600996.64118236
34,197,195,0.3283442058924543,0.7411167512690355,2838.9703363195677,0.1597782667754073,0.8717948717948718,264090.53093383287
35,196,194,0.31707694850803986,0.7397959183673469,3403.8146617637285,0.15743003531985217,0.8969072164948454,360254.86187321885
47,184,182,0.3196688967329608,0.8315217391304348,33491.42407326316,0.15483181235932902,0.9010989010989011,8388399.004788096
45,186,184,0.29844424063807556,0.7956989247311828,24643.29444741129,0.15315324317570642,0.9021739130434783,5051121.504529751
60,171,169,0.45449159738226363,0.9415204678362573,169590.04287343638,0.15280670173223998,0.9644970414201184,144983787.238504
1,230,228,0.1505830270875637,0.591304347826087,0.4664396492480283,0.15246902097626586,0.5087719298245614,0.2597763459825666
44,187,185,0.2848848779584051,0.786096256684492,20928.118175565716,0.1522072096987921,0.8972972972972973,3814887.0653345017
46,185,183,0.31328830066545404,0.8162162162162162,28837.19599694299,0.15206139401363833,0.907103825136612,6495942.90071996
36,195,193,0.3181698900879525,0.7333333333333333,4212.914866638055,0.15136973349010738,0.8860103626943006,489912.7903090445
33,198,196,0.33017436274842366,0.7272727272727273,2390.940023316351,0.14771383299414506,0.8979591836734694,189691.41936683672
59,172,170,0.4500678177549839,0.9244186046511628,150454.8779016417,0.1459225063844337,0.9647058823529412,120247160.45145634
48,183,181,0.3351824698412735,0.8360655737704918,38968.64160873584,0.1450873097844237,0.8784530386740331,10665061.389869055
32,199,197,0.32012132823695943,0.7286432160804021,2010.1501774128153,0.14287935357069886,0.8934010152284264,137976.49071348066
2,229,227,0.23939091139198482,0.6200873362445415,1.1426564738548328,0.14173563267996334,0.5374449339207048,0.5656912357620814
42,189,187,0.2754520608214875,0.798941798941799,14280.757987140993,0.14149771181007312,0.8877005347593583,2173876.520198931
58,173,171,0.45281669789173407,0.9017341040462428,134035.52744367087,0.13879556548455357,0.9590643274853801,98852661.4599322
55,176,174,0.4590647961286681,0.875,92821.09951463867,0.13774536302628576,0.9252873563218391,56239683.70562411
49,182,180,0.3607331676008627,0.8571428571428571,45019.751108763776,0.13658887490850868,0.9,13583075.455624973
43,188,186,0.2823221971753727,0.776595744680851,17285.606569938893,0.13606943296401006,0.8870967741935484,2876508.6759303273
54,177,175,0.4595591007523061,0.8757062146892656,83723.3444636669,0.13586777428872557,0.9257142857142857,44846713.096648365
