Date,predicted_future_return,portfolio_weight,price,gross_exposure,net_equity
2023-04-13,-0.12844531911825544,0.0,189.72,0.0,1.0
2023-04-14,-0.08203228644941442,0.0,186.36,0.0,1.0
2023-04-17,-0.07867577813235335,0.0,185.53,0.0,1.0
2023-04-18,-0.08238147369497344,0.0,186.25,0.0,1.0
2023-04-19,-0.07679289492128616,0.0,185.36,0.0,1.0
2023-04-20,-0.085438655405176,0.0,186.09,0.0,1.0
2023-04-21,-0.07707153848189426,0.0,184.25,0.0,1.0
2023-04-24,-0.07594738839322612,0.0,184.81,0.0,1.0
2023-04-25,-0.08702748898419749,0.0,185.75,0.0,1.0
2023-04-26,-0.07969907003136041,0.0,184.74,0.0,1.0
2023-04-27,-0.08033761443885964,0.0,184.75,0.0,1.0
2023-04-28,-0.09319810389263555,0.0,184.8,0.0,1.0
2023-05-01,-0.09926615763087639,0.0,183.97,0.0,1.0
2023-05-02,-0.11844206800710495,0.0,187.52,0.0,1.0
2023-05-03,-0.11815772979556799,0.0,189.11,0.0,1.0
2023-05-04,-0.10982455907048012,0.0,190.44,0.0,1.0
2023-05-05,-0.08878515627923261,0.0,187.46,0.0,1.0
2023-05-08,-0.0848519651034986,0.0,187.69,0.0,1.0
2023-05-09,-0.09680751846520849,0.0,189.02,0.0,1.0
2023-05-10,-0.10420680997588197,0.0,188.75,0.0,1.0
2023-05-11,-0.1165071502070347,0.0,187.13,0.0,1.0
2023-05-12,-0.13348096124585754,0.0,186.81,0.0,1.0
2023-05-15,-0.13540396997501805,0.0,187.21,0.0,1.0
2023-05-16,-0.14315249083194392,0.0,184.87,0.0,1.0
2023-05-17,-0.14112455731449627,0.0,184.23,0.0,1.0
2023-05-18,-0.1484722968318309,0.0,181.84,0.0,1.0
2023-05-19,-0.15453353887192822,0.0,183.64,0.0,1.0
2023-05-22,-0.15678010819286256,0.0,183.21,0.0,1.0
2023-05-23,-0.16498317022617912,0.0,183.43,0.0,1.0
2023-05-24,-0.15336010727756022,0.0,181.95,0.0,1.0
2023-05-25,-0.1442505504333744,0.0,180.2,0.0,1.0
2023-05-26,-0.13046916733839758,0.0,180.92,0.0,1.0
2023-05-30,-0.11573388870814347,0.0,182.04,0.0,1.0
2023-05-31,-0.10385230808090123,0.0,182.32,0.0,1.0
2023-06-01,-0.09839136609082,0.0,183.76,0.0,1.0
2023-06-02,-0.07114701139932385,0.0,181.05,0.0,1.0
2023-06-05,-0.050354460321344496,0.0,182.14,0.0,1.0
2023-06-06,-0.051396079435595585,0.0,182.34,0.0,1.0
2023-06-07,-0.05401100634078744,0.0,180.15,0.0,1.0
2023-06-08,-0.0820303166551869,0.0,182.53,0.0,1.0
2023-06-09,-0.09753168816661811,0.0,182.04,0.0,1.0
2023-06-12,-0.10972771423282987,0.0,181.88,0.0,1.0
2023-06-13,-0.11336310520752386,0.0,180.54,0.0,1.0
2023-06-14,-0.14187142721058776,0.0,180.64,0.0,1.0
2023-06-15,-0.15317486853790174,0.0,181.91,0.0,1.0
2023-06-16,-0.1259305508287671,0.0,181.63,0.0,1.0
2023-06-20,-0.11494027078836419,0.0,179.75,0.0,1.0
2023-06-21,-0.08168860205256502,0.0,179.49,0.0,1.0
2023-06-22,-0.09811842664438705,0.0,177.71,0.0,1.0
2023-06-23,-0.07627210548212134,0.0,178.2,0.0,1.0
2023-06-26,-0.048964635445011756,0.0,178.51,0.0,1.0
