feature_column,target_horizon_days,selection_rows,evaluation_rows,coefficient,intercept,selection_correlation,selection_directional_accuracy,evaluation_correlation,evaluation_directional_accuracy
ma_crossover_score,97,134,132,-0.0471078787931788,0.13257483065511128,0.5142078737364909,1.0,0.6620710175145926,1.0
ma_crossover_score,96,135,133,-0.049717890353636295,0.13188833641901487,0.5441676937647374,1.0,0.6564705578321559,1.0
ma_crossover_score,98,133,131,-0.04474361368516374,0.13356581917037766,0.492232754511859,1.0,0.6553994099297556,1.0
ma_crossover_score,99,132,130,-0.04305628970648142,0.1347630689464085,0.47636461861916923,1.0,0.649792125037797,1.0
ma_crossover_score,95,136,134,-0.05164697140726337,0.1309983281892885,0.5690914315506767,1.0,0.6418241741078555,1.0
ma_crossover_score,100,131,129,-0.04113622771526942,0.13585092328443002,0.453578911135331,1.0,0.6414277393902764,1.0
ma_crossover_score,101,130,128,-0.0392568284432309,0.13701684961840221,0.43584280970862355,1.0,0.6319586558688035,1.0
ma_crossover_score,102,129,127,-0.03660841546572106,0.13774949069656878,0.408120063995757,1.0,0.6243560741544512,1.0
ma_crossover_score,94,137,135,-0.052935445568617345,0.12981917190816214,0.5805736479894762,1.0,0.6127511552166794,1.0
ma_crossover_score,103,128,126,-0.03338771167699449,0.13828933119641398,0.3749887687001993,1.0,0.6111017400940354,1.0
ma_crossover_score,104,127,125,-0.029408418309686258,0.1386332534873504,0.33294311566867474,1.0,0.600139283720941,1.0
ma_crossover_score,105,126,124,-0.025400367040316566,0.13906467776954332,0.2932540418871291,1.0,0.5845999024696884,1.0
ma_crossover_score,93,138,136,-0.053903871467882745,0.1286764948584069,0.5927865899690035,1.0,0.5824477074579025,1.0
ma_crossover_score,106,125,123,-0.022135932393571867,0.13962264984847023,0.2617173167624845,1.0,0.563677358650335,1.0
ma_crossover_score,92,139,137,-0.05378628588288023,0.12719378011101917,0.5909173598039272,1.0,0.5493694736185305,1.0
ma_crossover_score,107,124,122,-0.01962384272532625,0.1402941527090395,0.23877450492965285,1.0,0.5394212629215521,1.0
