Hold Days,Year,Buy & Hold,1M Return,1M Exposure,1M 100%-Eq,2M Return,2M Exposure,2M 100%-Eq,3M Return,3M Exposure,3M 100%-Eq,6M Return,6M Exposure,6M 100%-Eq
45,2020,20.2211%,7.3365%,48.6622%,15.0763%,7.8473%,47.1591%,16.6401%,7.4566%,46.2818%,16.1113%,5.0912%,37.8979%,13.4340%
45,2021,-6.2359%,-1.1129%,23.0139%,-4.8357%,-1.7129%,26.6870%,-6.4185%,0.5901%,30.0731%,1.9622%,0.4344%,43.8216%,0.9913%
45,2022,0.7782%,-5.6739%,25.4458%,-22.2979%,-5.1122%,20.5156%,-24.9186%,-5.0664%,43.4638%,-11.6566%,0.7595%,38.5186%,1.9718%
45,2023,11.7561%,2.1619%,39.2109%,5.5134%,-1.4221%,29.7217%,-4.7848%,0.9966%,25.9442%,3.8413%,3.9617%,27.2618%,14.5321%
45,2024,26.9557%,10.0075%,32.3955%,30.8915%,9.3033%,32.1206%,28.9637%,6.8965%,24.9289%,27.6645%,3.8223%,18.0723%,21.1498%
130,2020,20.2211%,6.7614%,45.2789%,14.9327%,9.4044%,53.3081%,17.6416%,10.0860%,55.4897%,18.1764%,10.9232%,63.0398%,17.3275%
130,2021,-6.2359%,0.0020%,36.1391%,0.0056%,-0.0506%,35.4424%,-0.1428%,-0.5980%,44.7598%,-1.3360%,-0.2995%,42.2052%,-0.7096%
130,2022,0.7782%,-0.3044%,39.6831%,-0.7670%,1.2746%,26.6312%,4.7863%,0.3493%,42.4060%,0.8237%,2.5382%,36.3462%,6.9833%
130,2023,11.7561%,3.0146%,27.7378%,10.8683%,1.5199%,17.1571%,8.8587%,3.6508%,23.0441%,15.8429%,4.2488%,18.7912%,22.6107%
130,2024,26.9557%,7.4039%,39.2416%,18.8674%,4.3261%,26.8949%,16.0852%,9.3277%,46.9183%,19.8807%,5.2560%,27.1777%,19.3393%
